부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,4.5,35.7,9.2,49.4,16.1,2.7,0.8,19.6,69
공산품,17.8,773.2,296.4,1087.4,166.5,137.5,456.5,760.5,1847.9
서비스,5.8,220.3,464,690.1,740.3,310.4,78.5,1129.2,1819.3
중간투입계,28.1,1029.2,769.6,1826.9,922.9,450.6,535.8,1909.3,3736.2
피용자보수,4.1,134.8,423.6,562.5,0,0,0,0,0
영업잉여,19.7,129.7,239.7,389.1,0,0,0,0,0
고정자본소모,4.8,89,145.4,239.2,0,0,0,0,0
생산세(보조금공제),-0.3,48.9,62.5,111.1,0,0,0,0,0
조정항,2.7,-0.7,106.1,108.1,0,0,0,0,0
부가가치계,31,401.7,977.3,1410,0,0,0,0,0
총투입액,59.1,1430.9,1746.9,3236.9,0,0,0,0,0
