부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,4074921,4310,30761640,20726,346199,5732,327931,5552,12164,10418,6772,4423,12890,7864,30034,368262,5316,5027,331601,76090,21112,8770288,22340,36036,8726,400693,13548,275358,85818,1072614,133711,51425,19945,47329486,14997681,0,410783,4594,-890113,0,1080949,15603894,62933380
광산품,560,2180,19381,1113,3111,62691,208738,2949378,310737,12083,11536,3120,4976,2727,1866,12292,469544,36200,207971,0,0,2106,0,0,127,7436,4475,5314,96,8643,1181,847,50,4350479,3798,0,0,0,-180751,0,112927,-64026,4286453
음식료품,9412488,8084,16254161,68459,51570,21218,829956,32435,78624,68291,36179,31146,76815,44560,9731,393236,39438,10509,82868,971530,237675,40238635,183212,277847,10333,1154369,264566,690044,303006,1650148,1852970,402276,93727,75880106,52149147,0,0,0,1282862,0,8653749,62085758,137965864
섬유 및 가죽제품,492707,14538,180048,8934467,379868,102627,1184899,173368,311338,448246,255409,215489,223737,1100275,1305722,1782612,136016,184381,357468,1857306,1565062,1302624,269253,533485,183809,714738,847227,1059480,317243,1289984,766929,1040932,46552,29577839,16237937,0,56189,7219,591610,0,23422061,40315016,69892855
"목재 및 종이, 인쇄",675703,10732,2811971,400297,9649885,168058,1889336,441456,310449,722975,364793,762019,394813,253164,1484785,366973,90415,59805,3710898,2864175,1340278,1087312,1764128,1631888,192886,3456390,384587,605598,767545,702419,509876,558593,31161,40465363,927677,0,0,0,1232514,0,3987113,6147304,46612667
석탄 및 석유제품,1359636,110826,400353,167951,172198,2930953,16435374,1681853,522727,532886,197563,366599,406215,985963,73748,525018,2866358,380672,2212653,5360389,17904741,1479300,434096,381312,1012323,2867274,607008,1823457,1633839,2310794,528014,796679,60919,69529691,14596858,0,0,0,673084,0,52130217,67400159,136929850
화학제품,3599194,133582,3652799,4484443,2718133,1805579,56286002,1340182,1449083,4290735,6797603,6815957,4511015,15571403,2033684,2113020,2121141,567507,9408946,3419359,1922646,2405343,546260,209453,190399,5209198,1448954,592050,582971,19531800,684466,3084131,128343,169655381,3400431,0,0,0,5151614,0,100831264,109383309,279038690
비금속광물제품,24089,7584,710456,42816,12385,83130,980567,4788170,2292002,388189,2398330,779811,255408,1022890,173110,143206,-92652,108107,22066416,67517,108526,354212,8376,5443,52490,173133,72940,103739,79868,83359,177724,71055,4875,37547271,-210831,0,0,0,202065,0,4908899,4900133,42447404
1차 금속제품,54287,5718,6413,12429,38243,249231,1271518,694767,28847983,16783934,2667865,8310978,10586531,13093236,1219937,1009657,122028,93078,15409872,-59919,45218,3899,-10048,-53,968,371740,-109,1041,-21139,198831,-2799,-9808,41040,101036567,-725181,0,-3149232,-77370,791346,209699,44145460,41194722,142231289
금속가공제품,69481,60580,1655311,178170,308598,1415814,1692496,508471,1285551,13230269,2276394,3761462,13208665,14111957,1120610,1276195,833835,130470,21005015,498828,792744,879241,134443,168955,71775,711323,406063,274968,219630,210896,273084,881681,16665,83669640,639619,0,3277498,2575514,1459183,0,11810996,19762810,103432450
"컴퓨터, 전자 및 광학기기",125649,6943,154329,63995,107219,474268,496325,82389,383504,611906,44285854,4674187,4086511,4028917,155739,1827247,790724,210631,1537527,1417293,664443,624717,2121353,750734,541559,7831163,544643,455887,927257,2151326,324281,1931512,103505,84493537,15277899,0,10404871,2489873,1556571,0,172323408,202052622,286546159
전기장비,144497,27007,55896,64781,75884,202357,287133,169955,259715,595860,3475479,17171413,4227092,10179440,205843,1258600,1840991,209335,10927258,842084,1907367,1049296,1555276,366065,564376,2601862,564002,443899,418706,360475,384343,1628928,43701,64108916,5534502,0,8052163,217068,797636,0,30859157,45460526,109569442
기계 및 장비,193948,79581,208972,34654,67000,1069228,2945057,336196,974918,2533434,1128064,1365450,16299858,5014247,77801,1489190,294492,602999,5728827,191303,263080,148045,76180,80247,170601,1132825,147999,184620,295755,141174,71138,202204,25219,43574306,2270519,0,37132633,396429,-1220377,0,59703266,98282470,141856776
운송장비,259609,62021,31093,18368,51448,119977,259468,188725,139514,186132,14380,67698,909952,59693680,15951,740478,44165,182358,107311,425470,6323143,52392,93065,49272,30619,1387052,390541,2155904,98991,208677,116899,5491420,35537,79951310,24288557,0,19103220,7576191,1977673,0,104150475,157096116,237047426
기타 제조업 제품,12235,1954,158344,78004,30000,10349,34565,8918,22849,48656,38773,24831,45262,32763,706755,213283,8053,38258,1869903,471971,196324,1322838,326711,388524,696731,1207143,437380,456354,1821438,464833,587292,325804,53201,12140299,3821480,0,2846541,367429,379306,1303314,3556458,12274528,24414827
제조임가공 및 산업용 장비 수리,284940,122968,4512675,6788148,1839112,379239,6226335,1081160,3147341,4224925,4830282,2791238,5742311,6115450,1159464,3929870,332521,240323,705244,320421,170413,58930,228299,118148,58603,368705,627998,220955,307586,2649044,93908,35839,37721,59750116,33871,0,0,0,0,0,2051998,2085869,61835985
"전력, 가스 및 증기",808038,97051,1432425,892309,1535500,2559932,6616842,1546136,7344171,1685828,2765312,827214,1131796,1414223,226388,684796,14036127,1159935,899656,3774430,2251571,2859282,1201616,1154389,2106655,7536606,503121,1315214,3373738,3526821,1247128,751020,79666,79344936,17628145,0,0,0,0,0,102274,17730419,97075355
"수도, 폐기물처리 및 재활용서비스",107341,11538,537207,201462,474262,110262,1753583,327163,2688515,449676,95437,119328,477135,149311,34632,101222,178650,807477,153132,104878,362074,2296886,222962,279945,995265,604874,239759,443627,596603,1624148,247687,349648,24480,17170169,4923439,1009391,0,0,0,0,1006061,6938891,24109060
