부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,398122,9,5365455,595487,411434,0,744395,0,0,0,0,0,0,446,3973,7124,0,0,49008,3194,0,684154,0,0,0,3627,149,15592,4101,77394,3279,0,0,8366943,2899858,0,40090,1591,817549,0,0,3759088,12126031
광산품,0,0,5866,1280,25917,77383808,6122204,786228,22881099,8026,5731,1825,3495,3174,4432,5380,37170891,0,85564,0,0,2088,0,0,0,11734,0,78,0,0,0,0,0,144508820,11476,0,0,0,2170433,0,0,2181909,146690729
음식료품,254577,0,9674470,640075,16350,30625,462399,0,0,1,113,0,1,0,178,8798,1,0,0,2462,2700,6718763,2183,12,61,58726,13631,1813,308,496240,75213,53,0,18459753,14740727,0,0,0,350438,0,91053,15182218,33641971
섬유 및 가죽제품,76517,0,3877,10850842,36496,16,250228,7897,421,11626,130084,18358,7349,45767,123878,51685,262,2922,22591,240676,17342,4476,2933,3190,346,14222,12423,21315,1231,6410,8543,5422,0,11979345,19437839,0,50426,10150,185847,0,972835,20657097,32636442
"목재 및 종이, 인쇄",4006,0,83872,418762,4547425,269,74128,15771,5608,48314,123823,40947,13343,11844,484030,7592,204557,462,998286,52831,20340,68173,104242,6310,1154,28307,10606,106582,9274,10835,18070,2618,0,7522381,484604,0,0,0,178658,0,14,663276,8185657
석탄 및 석유제품,33086,1441,43025,138309,67055,2837522,16395764,250258,179418,171727,78837,59176,24481,66727,16423,164304,758907,8392,19185,539605,5503282,553424,13658,6745,31327,147158,43442,177810,281370,96017,31020,123241,0,28862136,1481261,0,0,0,133392,0,0,1614653,30476789
화학제품,695613,1053,301507,1934099,361966,768629,33678105,641465,312671,450941,12153761,2626586,444065,1402361,517351,121195,23154,54960,305403,937765,140117,62227,49861,1703,365,689652,117996,23539,16431,6010961,19772,410181,117,65275572,8380440,0,0,0,1252518,0,2747352,12380310,77655882
비금속광물제품,212,7,35705,5679,1794,5251,280507,1381974,460568,113224,938733,594089,200491,387433,62771,12366,15233,1434,1876298,5135,1530,55628,11,185,87,32969,59,411,1295,5941,17,24097,0,6501134,233700,0,0,0,174972,0,66,408738,6909872
1차 금속제품,518,6,0,7566,415,7295,1252148,30970,21031769,3492858,3315944,3166130,1374532,4940426,619338,55711,28556,4613,2181534,7880,85213,0,0,0,1,46623,234,18,0,75644,0,450,0,41726392,8208,0,0,0,-97352,35163,0,-53981,41672411
금속가공제품,1735,4804,118706,123795,15481,21719,204480,47195,56419,1904351,460618,188441,645388,1290712,169658,102795,59281,1829,541407,68419,63491,146185,3832,7625,2538,69152,13097,228019,6719,2611,2361,24470,0,6597333,721962,0,217466,970102,106620,0,0,2016150,8613483
"컴퓨터, 전자 및 광학기기",580,24,583,3929,8156,7958,83550,15038,14376,27546,49417189,2156931,2518276,2808886,17654,214599,168327,5685,196835,385413,54802,13775,3600601,103479,31048,1508449,51598,252656,306786,1696063,18764,287780,503,65977839,12183332,0,16164273,2630682,876603,0,587894,32442784,98420623
전기장비,130,10,106,6924,465,1242,74011,8866,59429,63530,4202650,5831381,1484481,2515261,35805,164415,199905,831,1208458,209749,114073,26110,33280,287,4499,178444,33783,75138,7588,16285,11149,218907,0,16787192,2957356,0,2448837,74995,167184,0,54377,5702749,22489941
기계 및 장비,14619,2304,45059,32616,5094,39188,272342,19139,85671,227364,1175741,417963,11108930,2611509,19428,413052,239037,12726,1053122,324975,418032,3827,10784,12611,7005,141904,39907,51991,2852,5621,1306,18609,0,18834328,745764,0,20312970,134345,125447,0,0,21318526,40152854
운송장비,864,106,0,514,21,38,36635,7328,5304,20794,14115,40489,120233,6397890,1916,3197,1351,647,378,6895,2415417,3104,3064,0,24,169859,6250,286867,2185,968,618,463985,0,10011056,9345662,0,10466350,3242459,57622,0,0,23112093,33123149
기타 제조업 제품,82,9,3277,471290,1811,386,11498,255,490,2057,8608,1157,1195,15890,557202,11851,430,4629,103409,55740,11162,60322,16421,19736,2784,38122,26202,159798,245500,42134,244715,12734,0,2130896,5568714,0,938582,73240,175000,950564,448704,8154804,10285700
제조임가공 및 산업용 장비 수리,115,0,8221,6999382,9741,2128,369113,7647,43832,373,2243433,800012,171008,79296,161077,0,12,0,0,38250,299,229,3741,4783,13,13642,12774,37964,110,145,1571,0,0,11008911,1133,0,0,0,0,0,0,1133,11010044
"전력, 가스 및 증기",2,1,21,80,31,1097,1547,12,561,103,2248,203,144,2085,4,4,1,2,0,306,27,67,61,58,65,293,179,90453,9,2,38,1,0,99705,53214,0,0,0,0,0,0,53214,152919
"수도, 폐기물처리 및 재활용서비스",0,0,0,0,1,13,52,0,19,3,26,3,9,135,0,0,0,0,0,91,1,6,5,9,2,35,25,7281,2,3,5,0,0,7726,16556,0,0,0,0,0,0,16556,24282
건설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4619,0,0,0,0,0,4619,0,0,0,30813,0,0,0,30813,35432
도소매 및 상품중개서비스,8709,547,88182,109539,37748,392201,599059,22496,359621,68373,822255,189521,268395,504659,20450,6564,62991,546,37178,105467,32095,25082,13238,810,288,14778,1680,4432,4111,34465,1520,5382,0,3842382,0,0,0,0,0,0,0,0,3842382
운송서비스,268841,5612,37142,11770,5684,8173,103008,23237,45491,37543,47676,18648,44002,29675,2968,17068,1677,29964,5931,539164,13379054,9662,29839,40672,4983,81553,47081,212175,13558,10021,9823,9874,0,15131569,9385043,0,0,0,0,0,0,9385043,24516612
음식점 및 숙박서비스,44052,1170,7826,5729,8411,6858,33034,6595,17522,14185,16226,8846,19745,18032,2326,15141,4281,6059,12676,149550,548638,25037,77177,81780,17061,172768,56192,256156,98898,42365,35076,67944,92,1877448,16943371,0,0,0,0,0,0,16943371,18820819
정보통신 및 방송 서비스,6609,516,12944,5354,12454,33138,42095,5192,40684,16548,164179,16693,33147,57670,1629,32248,15599,24346,31333,227755,119907,9256,4278196,748226,26956,486813,41323,626633,131565,35987,77071,24798,2991,7389855,1422190,0,614381,7102,110177,0,0,2153850,9543705
