부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,4473043 ,4319 ,36127095 ,616213 ,757633 ,5732 ,1072326 ,5552 ,12164 ,10418 ,6772 ,4423 ,12890 ,8310 ,34007 ,375386 ,5316 ,5027 ,380609 ,79284 ,21112 ,9454442 ,22340 ,36036 ,8726 ,404320 ,13697 ,290950 ,89919 ,1150008 ,136990 ,51425 ,19945 ,55696429 ,17897539 ,0 ,450873 ,6185 ,-72564 ,0 ,1080949 ,19362982 ,75059411 
광산품,560 ,2180 ,25247 ,2393 ,29028 ,77446499 ,6330942 ,3735606 ,23191836 ,20109 ,17267 ,4945 ,8471 ,5901 ,6298 ,17672 ,37640435 ,36200 ,293535 ,0 ,0 ,4194 ,0 ,0 ,127 ,19170 ,4475 ,5392 ,96 ,8643 ,1181 ,847 ,50 ,148859299 ,15274 ,0 ,0 ,0 ,1989682 ,0 ,112927 ,2117883 ,150977182 
음식료품,9667065 ,8084 ,25928631 ,708534 ,67920 ,51843 ,1292355 ,32435 ,78624 ,68292 ,36292 ,31146 ,76816 ,44560 ,9909 ,402034 ,39439 ,10509 ,82868 ,973992 ,240375 ,46957398 ,185395 ,277859 ,10394 ,1213095 ,278197 ,691857 ,303314 ,2146388 ,1928183 ,402329 ,93727 ,94339859 ,66889874 ,0 ,0 ,0 ,1633300 ,0 ,8744802 ,77267976 ,171607835 
섬유 및 가죽제품,569224 ,14538 ,183925 ,19785309 ,416364 ,102643 ,1435127 ,181265 ,311759 ,459872 ,385493 ,233847 ,231086 ,1146042 ,1429600 ,1834297 ,136278 ,187303 ,380059 ,2097982 ,1582404 ,1307100 ,272186 ,536675 ,184155 ,728960 ,859650 ,1080795 ,318474 ,1296394 ,775472 ,1046354 ,46552 ,41557184 ,35675776 ,0 ,106615 ,17369 ,777457 ,0 ,24394896 ,60972113 ,102529297 
"목재 및 종이, 인쇄",679709 ,10732 ,2895843 ,819059 ,14197310 ,168327 ,1963464 ,457227 ,316057 ,771289 ,488616 ,802966 ,408156 ,265008 ,1968815 ,374565 ,294972 ,60267 ,4709184 ,2917006 ,1360618 ,1155485 ,1868370 ,1638198 ,194040 ,3484697 ,395193 ,712180 ,776819 ,713254 ,527946 ,561211 ,31161 ,47987744 ,1412281 ,0 ,0 ,0 ,1411172 ,0 ,3987127 ,6810580 ,54798324 
석탄 및 석유제품,1392722 ,112267 ,443378 ,306260 ,239253 ,5768475 ,32831138 ,1932111 ,702145 ,704613 ,276400 ,425775 ,430696 ,1052690 ,90171 ,689322 ,3625265 ,389064 ,2231838 ,5899994 ,23408023 ,2032724 ,447754 ,388057 ,1043650 ,3014432 ,650450 ,2001267 ,1915209 ,2406811 ,559034 ,919920 ,60919 ,98391827 ,16078119 ,0 ,0 ,0 ,806476 ,0 ,52130217 ,69014812 ,167406639 
화학제품,4294807 ,134635 ,3954306 ,6418542 ,3080099 ,2574208 ,89964107 ,1981647 ,1761754 ,4741676 ,18951364 ,9442543 ,4955080 ,16973764 ,2551035 ,2234215 ,2144295 ,622467 ,9714349 ,4357124 ,2062763 ,2467570 ,596121 ,211156 ,190764 ,5898850 ,1566950 ,615589 ,599402 ,25542761 ,704238 ,3494312 ,128460 ,234930953 ,11780871 ,0 ,0 ,0 ,6404132 ,0 ,103578616 ,121763619 ,356694572 
비금속광물제품,24301 ,7591 ,746161 ,48495 ,14179 ,88381 ,1261074 ,6170144 ,2752570 ,501413 ,3337063 ,1373900 ,455899 ,1410323 ,235881 ,155572 ,-77419 ,109541 ,23942714 ,72652 ,110056 ,409840 ,8387 ,5628 ,52577 ,206102 ,72999 ,104150 ,81163 ,89300 ,177741 ,95152 ,4875 ,44048405 ,22869 ,0 ,0 ,0 ,377037 ,0 ,4908965 ,5308871 ,49357276 
1차 금속제품,54805 ,5724 ,6413 ,19995 ,38658 ,256526 ,2523666 ,725737 ,49879752 ,20276792 ,5983809 ,11477108 ,11961063 ,18033662 ,1839275 ,1065368 ,150584 ,97691 ,17591406 ,-52039 ,130431 ,3899 ,-10048 ,-53 ,969 ,418363 ,125 ,1059 ,-21139 ,274475 ,-2799 ,-9358 ,41040 ,142762959 ,-716973 ,0 ,-3149232 ,-77370 ,693994 ,244862 ,44145460 ,41140741 ,183903700 
금속가공제품,71216 ,65384 ,1774017 ,301965 ,324079 ,1437533 ,1896976 ,555666 ,1341970 ,15134620 ,2737012 ,3949903 ,13854053 ,15402669 ,1290268 ,1378990 ,893116 ,132299 ,21546422 ,567247 ,856235 ,1025426 ,138275 ,176580 ,74313 ,780475 ,419160 ,502987 ,226349 ,213507 ,275445 ,906151 ,16665 ,90266973 ,1361581 ,0 ,3494964 ,3545616 ,1565803 ,0 ,11810996 ,21778960 ,112045933 
