단위,억달러,한국,한국,한국,중국,중국,중국,미국,미국,미국,ROW,ROW,ROW,한국,중국,미국,ROW,총계
국가,산업,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,최종수요,최종수요,최종수요,최종수요,총수요
한국,농산품,25,282,102,0,0,0,0,2,1,1,2,1,152,1,1,2,572
한국,공산품,110,"5,596","2,593",50,"1,246",295,4,193,136,61,"1,301",602,"2,458",391,355,"1,294",16685
한국,서비스,85,"2,633","5,421",11,139,99,0,17,42,8,144,270,"11,611",128,82,287,20977
중국,농산품,0,4,1,"4,389","9,691","1,500",3,9,3,12,50,13,3,"5,509",5,67,21259
중국,공산품,7,532,183,"4,571","80,946","34,018",18,881,948,181,"4,780","2,978",233,"32,206","2,370","6,996",171848
중국,서비스,1,60,84,"2,400","26,110","34,909",2,86,183,27,553,"1,042",122,"89,619",398,"1,455",157051
미국,농산품,1,13,4,20,47,8,830,"2,088",200,43,164,29,7,27,"1,022",163,4666
미국,공산품,4,217,93,30,574,168,677,"16,658","14,548",148,"3,356","1,740",115,327,"25,747","3,968",68370
미국,서비스,3,95,118,27,242,234,"1,003","14,951","91,821",107,"1,748","3,755",169,610,"166,837","4,208",285928
ROW,농산품,2,25,10,139,312,42,71,233,77,"5,052","12,511","3,110",16,175,136,"16,374",38285
ROW,공산품,18,"1,965",637,269,"8,032","1,982",91,"5,096","2,851","4,449","91,300","53,282",545,"2,151","7,265","94,695",274628
ROW,서비스,7,312,392,136,"1,471","1,181",41,976,"2,436","5,001","57,042","174,441",373,"2,800","4,089","342,047",592745
세금_한국,세금_한국,8,336,475,0,0,0,0,0,0,0,0,0,651,3,1,3,1477
세금_중국,세금_중국,0,0,0,-182,"4,288","2,865",0,0,0,0,0,0,-1,"4,052",-1,-4,11017
세금_미국,세금_미국,0,0,0,0,0,0,27,939,"2,194",0,0,0,5,19,"4,229",68,7481
세금_ROW,세금_ROW,0,0,0,0,0,0,0,0,0,547,"7,332","11,773",4,57,56,"21,711",41480
부가가치,부가가치,301,"4,615","10,864","9,399","38,750","79,750","1,899","26,241","170,488","22,648","94,345","339,709",0,0,0,0,799009
총투입계,총투입계,572,"16,685","20,977","21,259","171,848","157,051","4,666","68,370","285,928","38,285","274,628","592,745",0,0,0,0,1653014
