bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
"Agricultural, forest, and fishery goods",2863736 ,5460 ,29412101 ,40367 ,373415 ,6991 ,328652 ,8002 ,16708 ,16540 ,19620 ,6782 ,19744 ,14275 ,33760 ,521729 ,5635 ,7343 ,446334 ,113485 ,27610 ,8553561 ,35254 ,52341 ,9507 ,148000 ,20078 ,293257 ,107993 ,1077799 ,162026 ,82448 ,30320 ,44860873 ,14150710 ,0 ,392372 ,15171 ,1265470 ,0 ,687127 ,16510850 ,61371723 
Mined and quarried goods,1031 ,2070 ,22453 ,3816 ,6506 ,114771 ,254201 ,2879974 ,284694 ,19763 ,21771 ,5476 ,10352 ,3257 ,4088 ,16950 ,86064 ,39977 ,221850 ,0 ,0 ,2971 ,0 ,0 ,117 ,7716 ,5368 ,5733 ,158 ,5391 ,1155 ,1038 ,57 ,4028768 ,3972 ,0 ,0 ,0 ,-36722 ,0 ,129200 ,96450 ,4125218 
"Food, beverages and tobacco products",9099812 ,8786 ,14776659 ,170183 ,62858 ,37437 ,903802 ,38360 ,81680 ,81573 ,70957 ,35104 ,90314 ,82226 ,10854 ,662624 ,30806 ,34208 ,83191 ,1136682 ,264695 ,33968491 ,232632 ,304218 ,8886 ,1105766 ,296557 ,909941 ,387726 ,1418909 ,1983715 ,490862 ,136940 ,69007454 ,45705216 ,0 ,0 ,0 ,58550 ,0 ,7376000 ,53139766 ,122147220 
Textile and leather products,547060 ,11571 ,148489 ,11437375 ,283743 ,63857 ,1262370 ,124129 ,233705 ,387271 ,225712 ,191883 ,183768 ,1351887 ,998875 ,1602623 ,74957 ,149936 ,287644 ,1238694 ,1116246 ,792351 ,192842 ,337354 ,99700 ,467139 ,607319 ,717290 ,264187 ,648998 ,467413 ,825776 ,38474 ,27380638 ,16641521 ,0 ,79953 ,10973 ,760906 ,0 ,34455146 ,51948499 ,79329137 
"Wood and paper products, printing and reproduction of recorded media ",684901 ,13098 ,2222233 ,500188 ,9253257 ,129715 ,1579576 ,435827 ,294275 ,770524 ,516732 ,705808 ,412803 ,320908 ,1298103 ,505009 ,48760 ,56868 ,3895636 ,2679898 ,1075481 ,863463 ,2060929 ,1538024 ,140161 ,3038171 ,375498 ,532634 ,794523 ,515493 ,456459 ,623347 ,34582 ,38372884 ,875810 ,0 ,0 ,0 ,71195 ,0 ,3594127 ,4541132 ,42914016 
Petroleum and coal products,1219323 ,96434 ,288507 ,229424 ,142418 ,1903579 ,12733746 ,1351866 ,563298 ,476520 ,270393 ,284144 ,363363 ,848549 ,64113 ,615119 ,2297399 ,263789 ,1689951 ,4366395 ,15401671 ,941797 ,386977 ,309202 ,666439 ,2160438 ,441082 ,1333018 ,1646589 ,1484144 ,390255 ,781778 ,61065 ,56072785 ,13444272 ,0 ,0 ,0 ,366141 ,0 ,40266835 ,54077248 ,110150033 
Chemical products,3956507 ,123411 ,2840648 ,5625395 ,2558427 ,1508436 ,49989685 ,1277967 ,1389216 ,4665753 ,11639998 ,6314312 ,4344344 ,16252610 ,1956595 ,2203322 ,1868987 ,504898 ,8481111 ,3252903 ,1705868 ,1625277 ,556445 ,189929 ,141922 ,4539999 ,1451812 ,529191 ,627091 ,14663843 ,580105 ,3270267 ,141465 ,160777739 ,3169798 ,0 ,0 ,0 ,-607272 ,0 ,82042897 ,84605423 ,245383162 
Non-metallic mineral products,18730 ,8382 ,573307 ,42425 ,18332 ,66425 ,767846 ,5174327 ,2084451 ,407646 ,4027986 ,686805 ,255928 ,1172984 ,149893 ,182547 ,-55932 ,107571 ,19878041 ,65287 ,96987 ,297213 ,10978 ,6544 ,49975 ,168420 ,82958 ,98467 ,60628 ,63310 ,159786 ,71310 ,7001 ,36806558 ,14054 ,0 ,0 ,0 ,-31008 ,0 ,2889084 ,2872130 ,39678688 
Basic metal products,52573 ,5576 ,7114 ,16994 ,39925 ,173351 ,939719 ,627714 ,23471006 ,15701862 ,2963661 ,7197654 ,9621992 ,14788247 ,1029264 ,949157 ,89477 ,78861 ,11477598 ,-26721 ,38928 ,1269 ,-4243 ,-46 ,803 ,295390 ,-290 ,1180 ,-17869 ,70109 ,-1714 ,2257 ,12561 ,89603359 ,-563598 ,0 ,-2448262 ,-63985 ,-1235910 ,105316 ,39517282 ,35310843 ,124914202 
"Fabricated metal products, except machinery and furniture ",58355 ,54971 ,1664840 ,219332 ,302039 ,1150555 ,1648613 ,451740 ,1112580 ,13210766 ,2953513 ,3427938 ,12374810 ,19058843 ,987057 ,1246493 ,500473 ,133151 ,16510071 ,506226 ,658912 ,642486 ,133009 ,159033 ,59204 ,581912 ,296440 ,276705 ,236263 ,142553 ,207989 ,866132 ,17309 ,81850313 ,704425 ,0 ,3552411 ,1846430 ,443288 ,0 ,11890695 ,18437249 ,100287562 
