bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
"Agricultural, forest, and fishery goods",2564,5,26338,36,334,6,294,7,15,15,18,6,18,13,30,467,5,7,400,102,25,7659,32,47,9,133,18,263,97,965,145,74,27,40174,12671,0,351,14,1133,0,615,14784,54958
Mined and quarried goods,1,2,20,3,6,103,228,2579,255,18,19,5,9,3,4,15,77,36,199,0,0,3,0,0,0,7,5,5,0,5,1,1,0,3609,4,0,0,0,-33,0,116,87,3696
"Food, beverages and tobacco products",8149,8,13232,152,56,34,809,34,73,73,64,31,81,74,10,593,28,31,74,1018,237,30418,208,272,8,990,266,815,347,1271,1776,440,123,61795,40927,0,0,0,52,0,6605,47584,109379
Textile and leather products,490,10,133,10242,254,57,1130,111,209,347,202,172,165,1211,894,1435,67,134,258,1109,1000,710,173,302,89,418,544,642,237,581,419,739,34,24518,14902,0,72,10,681,0,30853,46518,71036
"Wood and paper products, printing and reproduction of recorded media ",613,12,1990,448,8286,116,1414,390,264,690,463,632,370,287,1162,452,44,51,3488,2400,963,773,1845,1377,126,2721,336,477,711,462,409,558,31,34361,784,0,0,0,64,0,3218,4066,38427
Petroleum and coal products,1092,86,258,205,128,1705,11403,1211,504,427,242,254,325,760,57,551,2057,236,1513,3910,13792,843,347,277,597,1935,395,1194,1474,1329,349,700,55,50211,12039,0,0,0,328,0,36058,48425,98636
Chemical products,3543,111,2544,5037,2291,1351,44764,1144,1244,4178,10423,5654,3890,14554,1752,1973,1674,452,7595,2913,1528,1455,498,170,127,4065,1300,474,562,13131,519,2928,127,143971,2838,0,0,0,-544,0,73467,75761,219732
Non-metallic mineral products,17,8,513,38,16,59,688,4633,1867,365,3607,615,229,1050,134,163,-50,96,17800,58,87,266,10,6,45,151,74,88,54,57,143,64,6,32957,13,0,0,0,-28,0,2587,2572,35529
Basic metal products,47,5,6,15,36,155,841,562,21017,14060,2654,6445,8616,13242,922,850,80,71,10278,-24,35,1,-4,0,1,265,0,1,-16,63,-2,2,11,80235,-505,0,-2192,-57,-1107,94,35386,31619,111854
"Fabricated metal products, except machinery and furniture ",52,49,1491,196,270,1030,1476,405,996,11830,2645,3070,11081,17067,884,1116,448,119,14784,453,590,575,119,142,53,521,265,248,212,128,186,776,15,73292,631,0,3181,1653,397,0,10648,16510,89802
"Computing machinery, electronic equipment and optical instruments",85,6,106,72,67,274,358,59,273,443,41644,3614,2496,3762,87,1349,442,151,1135,1188,539,372,1787,580,312,4531,347,343,771,1240,243,1554,83,70313,14987,0,8598,1861,1339,0,155612,182397,252710
Electrical equipment,93,16,28,67,52,132,207,120,214,539,4175,11853,3385,8659,149,880,1027,164,8154,584,898,660,1234,245,300,1587,433,267,347,193,240,1122,38,48062,3529,0,7047,142,418,0,26473,37609,85671
Machinery and equipment,189,92,137,42,59,801,2473,309,852,2396,1199,1303,15145,6028,67,1341,164,458,4098,144,205,71,53,45,106,689,102,133,203,75,51,163,21,39214,963,0,28278,304,289,0,42897,72731,111945
Transport equipment,234,57,21,20,39,80,190,137,102,163,17,54,708,57381,13,820,19,125,75,330,5082,29,83,37,18,422,205,582,87,124,80,4119,17,71470,21376,0,14433,5166,2458,0,116106,159539,231009
Other manufactured products,8,1,192,94,20,6,21,6,14,28,38,15,28,44,471,242,5,31,1479,395,146,730,274,317,489,877,294,304,1726,259,464,305,52,9375,3128,0,1838,209,182,840,2467,8664,18039
Manufacturing services and repair services of industrial equipment,163,94,2649,8230,1269,216,4407,737,2169,3455,5831,2135,4466,7534,851,4125,203,201,480,223,107,26,195,80,29,231,294,136,236,1393,61,27,30,52283,24,0,0,0,0,0,2497,2521,54804
"Electricity, gas, and steam supply",663,87,1060,976,1285,1671,5461,1489,6138,1701,3496,794,1118,1652,205,806,11158,887,730,3288,1715,1887,1195,992,1471,6064,368,1096,3367,2512,1001,730,88,67151,15842,0,0,0,0,0,104,15946,83097
"Water supply, sewage and waste treatment and disposal services",67,11,331,205,421,69,1487,293,2477,364,115,90,473,154,24,88,91,526,108,86,252,1169,176,225,583,467,179,330,499,938,171,289,21,12779,3045,1044,0,0,0,0,343,4432,17211
Construction,67,13,57,23,24,45,160,28,129,85,103,103,76,97,11,30,297,31,58,230,157,179,236,72,6489,421,84,512,152,67,82,60,29,10207,0,0,148566,42594,-1274,0,148,190034,200241
Wholesale and retail trade and commodity brokerage services,2162,50,7895,5579,1798,774,7291,1079,2235,2718,7457,3295,3981,10401,1421,1710,511,306,6592,9042,2167,10585,7351,757,398,3295,996,1250,1850,8121,1379,2927,142,117515,70717,0,9900,633,1099,285,21611,104245,221760
Transportation,561,474,3768,1905,1690,840,6657,3752,3286,2012,3874,1779,2667,3589,528,892,230,996,1683,14230,7929,709,1928,633,401,2953,1174,1813,374,417,330,582,4,74660,17571,0,216,57,73,7,33987,51911,126571
Food services and accommodation,385,68,374,460,384,273,1256,295,696,779,914,407,796,777,151,1266,210,273,685,7935,1327,825,1831,3095,909,5565,1925,1658,5716,2890,1216,2568,206,48115,63716,0,0,0,0,0,6306,70022,118137
Communications and broadcasting,159,17,204,169,206,354,581,187,389,411,1089,314,360,440,81,405,113,287,388,8982,1453,827,14607,7463,646,14279,1571,2135,2960,463,1329,865,83,63817,27807,0,24460,208,16,0,4950,57441,121258
Finance and insurance,773,146,713,821,565,187,2076,429,1340,1204,2927,829,1801,2454,204,538,982,432,3585,6022,1819,1649,1609,21023,13864,3348,257,3224,1392,2124,421,1152,0,79910,58054,0,0,0,0,0,2560,60614,140524
Real estate services,44,6,212,347,144,130,313,68,328,233,202,227,125,279,110,425,130,304,530,11684,1012,5498,1370,5303,4696,4421,945,504,1824,2327,560,1198,38,45537,102252,0,23290,15,0,0,385,125942,171479
"Professional, scientific, and technical services",653,154,2889,1095,728,2236,8310,1064,3466,1925,4664,2423,2060,5068,579,1368,1243,684,14789,9614,1906,1532,6036,3477,846,7038,1989,1453,2126,667,756,550,51,93439,2808,0,47871,8667,0,0,14239,73585,167024
Business support services,103,112,316,283,282,336,767,192,943,612,1163,355,312,2927,93,1589,665,379,5558,5110,4230,786,3219,5491,6227,5171,3134,2678,1698,880,1413,346,65,57435,3184,0,0,0,0,0,7866,11050,68485
"Public administration, defense, and social security services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1909,1928,1213,107307,0,0,0,0,34,108554,110482
Education services,3,1,22,7,14,23,83,15,58,65,43,43,53,39,2,111,16,9,40,480,41,44,74,234,57,202,35,4,45,10,13,51,11,1948,48082,53985,0,0,0,0,153,102220,104168
Health and social care services,106,10,91,62,63,39,214,47,120,170,145,99,180,245,29,140,50,76,329,977,170,359,230,468,120,531,180,65,265,557,131,110,13,6391,40504,59887,0,0,0,0,332,100723,107114
"Art, sports, and leisure services",50,17,55,60,55,49,173,37,146,132,73,60,101,67,17,105,26,40,137,307,548,85,971,356,114,734,138,43,521,120,1059,182,11,6589,26428,1722,415,0,0,2,929,29496,36085
Other services,88,18,153,77,73,107,244,92,226,225,489,181,248,181,22,296,56,149,366,1517,2092,328,403,665,204,1174,612,198,829,227,313,342,14,12209,35768,0,0,0,0,0,548,36316,48525
Others,265,11,57,40,48,77,546,27,79,102,161,82,95,70,19,256,64,13,89,208,182,68,180,100,184,118,76,25,21,326,22,30,67,3708,-285,0,0,0,0,0,0,-285,3423
Total intermediate input,23489,1757,67855,37006,20963,13335,106322,21538,52124,51765,100156,46939,65458,160109,10983,26397,22132,7755,107477,94515,52253,71121,48270,54251,39518,75324,18541,22960,30687,43922,15280,25554,3422,1539178,645017,223945,316324,61476,5543,1228,640100,1893633,3432811
