country,sectors,KOR,KOR,KOR,CHN,CHN,CHN,ROW,ROW,ROW,KOR,KOR,KOR,CHN,CHN,CHN,ROW,ROW,ROW,Total
country,sectors,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Total
KOR,Agr,2566,25733,9181,13,25,3,56,254,124,13178,395,0,13,3,0,204,5,0,51753
KOR,Manu,10765,509748,250120,3622,94400,25401,5829,123308,60992,124280,102706,0,8637,20943,0,61239,66753,0,1468743
KOR,Serv,8259,247896,558976,815,12425,7976,865,17389,34501,533647,625603,0,2275,5116,0,15735,12924,0,2084402
CHN,Agr,41,406,132,481821,1008698,130503,2134,6574,1546,208,3,0,493417,122800,0,7058,551,0,2255892
CHN,Manu,695,57205,21031,463070,8259021,3726089,21985,583202,405020,12454,13152,0,1737312,1445855,0,541347,387438,0,17674876
CHN,Serv,101,6406,9453,234184,2621767,3760207,3160,70616,141311,3480,3290,0,2972125,6751792,0,102920,60310,0,16741122
ROW,Agr,335,3233,1216,16542,34159,3985,761172,1552104,377824,1690,66,0,18193,3742,0,1677375,171289,0,4622925
ROW,Manu,1935,158675,63691,29447,913860,217143,583516,10840291,6955388,25683,25142,0,117122,140615,0,8046071,4489113,0,32607692
ROW,Serv,911,36672,47840,14136,165006,121428,667971,7340693,29153700,15664,12073,0,141888,157943,0,28023706,23320560,0,89220191
Tax_KOR,Tax_KOR,566,25259,46583,0,0,0,0,0,0,30535,31365,0,0,0,0,0,0,0,134308
Tax_CHN,Tax_CHN,0,0,0,14219,450910,308827,0,0,0,0,0,0,235423,0,0,0,0,0,1009379
Tax_ROW,Tax_ROW,0,0,0,0,0,0,52645,793135,1289888,0,0,0,8208,2698,0,1962872,493313,0,4602759
VA,VA,25579,397510,1076179,998023,4114605,8439560,2523592,11280126,50799897,0,0,0,0,0,0,0,0,0,0
CT,Output,51753,1468743,2084402,2255892,17674876,16741122,4622925,32607692,89220191,0,0,0,0,0,0,0,0,0,0
