country,sectors,KOR,KOR,KOR,CHN,CHN,CHN,ROW,ROW,ROW,KOR,KOR,KOR,CHN,CHN,CHN,ROW,ROW,ROW,Total
country,sectors,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Total
KOR,Agr,26,257,92,0,0,0,1,3,1,132,4,0,0,0,0,2,0,0,518
KOR,Manu,108,5097,2501,36,944,254,58,1233,610,1243,1027,0,86,209,0,613,668,0,14687
KOR,Serv,83,2479,5590,8,124,80,9,174,345,5336,6256,0,23,51,0,157,129,0,20844
CHN,Agr,0,4,1,4818,10087,1305,21,66,15,2,0,0,4934,1228,0,70,6,0,22557
CHN,Manu,7,572,210,4631,82590,37261,220,5832,4050,125,132,0,17373,14459,0,5413,3874,0,176749
CHN,Serv,1,64,95,2342,26218,37602,32,706,1413,35,33,0,29721,67518,0,1028,603,0,167411
ROW,Agr,3,32,12,165,342,40,7612,15521,3778,17,1,0,182,37,0,16775,1713,0,46230
ROW,Manu,19,1587,637,294,9139,2171,5835,108403,69554,257,251,0,1171,1406,0,80462,44891,0,326077
ROW,Serv,9,367,478,141,1650,1214,6680,73407,291537,157,121,0,1419,1579,0,280236,233206,0,892201
Tax_KOR,Tax_KOR,6,253,466,0,0,0,0,0,0,305,314,0,0,0,0,0,0,0,1344
Tax_CHN,Tax_CHN,0,0,0,142,4509,3088,0,0,0,0,0,0,2354,0,0,0,0,0,10093
Tax_ROW,Tax_ROW,0,0,0,0,0,0,526,7931,12899,0,0,0,82,27,0,19629,4933,0,46027
VA,VA,256,3975,10762,9980,41146,84396,25236,112801,507999,0,0,0,0,0,0,0,0,0,0
CT,Output,518,14687,20844,22557,176749,167411,46230,326077,892201,0,0,0,0,0,0,0,0,0,0
