,,KOR,KOR,KOR,CHN,CHN,CHN,USA,USA,USA,JPN,JPN,JPN,EU,EU,EU,ROW,ROW,ROW,KOR,KOR,KOR,CHN,CHN,CHN,USA,USA,USA,JPN,JPN,JPN,EU,EU,EU,ROW,ROW,ROW,Total
,,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Agr,Manu,Serv,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Cons,Inv,Exp,Tot
Country,Secs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,Agr,2469.265303,28195.548709999995,10238.518261999998,13.192407,29.447965,3.896884,37.114278,165.111349,70.20899299999999,19.096551,86.36196999999997,24.153083,2.195930000000001,19.542329,4.168215,40.872511,106.14287999999985,46.88248899999991,15167.950697999999,61.24034,0.000601,13.733776,1.181997,93.85599199999999,44.782809,0.014003999999999999,20.941984,57.463975,3.554192,10.161687,16.844803000000002,0.239383,1.521243,104.85635399999998,2.452323,45.865269999999995,57218.381539999995
KOR,Manu,10967.029242999999,559580.946663,259256.15932200008,5004.780803,124554.11330000001,29490.716457,396.569159,19252.330822999997,13595.760385,219.92629000000002,16217.490241999998,7151.546786999998,361.27883099999997,16504.046296000004,6397.319182999996,5563.096941,97365.98810899991,46657.063017000015,131732.769849,114067.913521,0.042731000000000005,10689.501047999998,27246.799150000003,1193.98829,16708.581011000002,18379.609809,398.127094,7116.724029999999,4064.3389349999998,167.24537800000004,9363.265734000004,9833.994401999997,37.02717700000001,42256.709812,55902.12763600001,769.309798,1668464.237256
KOR,Serv,8516.554408,263317.908877,542061.574991,1129.1076389999998,13943.943540000002,9905.423866000003,46.967164999999994,1705.458867,4161.809632,38.079847,1723.635769,4451.459612,64.11335300000002,1979.5318410000014,4303.441477000001,714.1498300000002,10684.950655000002,18237.610110999998,831308.2504719999,329783.1697060001,0.086039,4214.04361,3413.882509,5175.225912999999,3047.0878609999995,3124.5097860000005,2029.9108969999995,2133.909064,1091.8534609999997,821.2471869999999,1838.1216410000002,1486.6122230000003,188.23124199999998,11018.642663999995,6267.171743000001,3799.6911339999997,2097727.368632
CHN,Agr,31.469073,372.554314,123.22850199999999,438877.197485,969085.4610779999,150018.663647,268.28976300000005,851.3951860000002,268.50534999999996,210.89218,829.6176700000003,230.37481900000003,152.7749670000001,848.272960999999,111.26506400000004,853.9063820000003,3365.631191000002,913.6524039999995,192.951788,2.265847,130.481895,497710.039722,53226.03086299999,0.0,436.18908799999997,0.0,75.416064,579.207908,42.668396,28.212201,644.7431849999999,21.438873,37.31607699999999,4812.069352,289.477937,266.15551899999997,2125907.816751
CHN,Manu,682.404336,53244.335079000004,18295.445433,457060.51891400013,8094558.037158,3401812.3131209994,1820.7808769999997,88087.74028,94776.20612300001,790.137025,48014.259938999996,32826.538420000004,1637.1344900000001,95028.83271099998,50590.32976800002,15676.716253,334936.22133599996,214365.19853100015,11676.457885000003,10170.785712,1495.9224410000002,1586829.7261679997,1633796.674841,9.528101000000001,151122.57440400004,84760.118102,1116.35393,46369.27424700001,27453.619926000003,368.14694899999995,91169.29637700002,44287.230704,729.874554,255285.363374,230325.52301499993,3625.7185199999994,17184795.339043997
CHN,Serv,105.69442099999998,6039.687306000002,8408.642136,240006.83286400003,2610966.4771940005,3490900.628452999,202.83495800000003,8636.417663999999,18260.800411,156.636374,5612.206302,11778.749834999999,306.00590899999986,11823.842782000003,25767.421917000014,2207.2858160000005,37883.55482300006,66612.90671099999,3316.0100089999996,3067.381420999999,5782.453464,5004017.0650969995,3957691.4281719998,164.48324799999997,24117.681167999996,11275.298421000001,4394.213411,8703.121664999999,5647.151132999999,1331.05011,18846.988855,9968.879636999998,2732.6674649999995,54127.55715400002,30390.608815,13833.209989000003,15705083.875109995
USA,Agr,112.666597,1292.4517850000004,389.464238,2036.356368,4653.370720999999,773.283819,82976.50997500001,208796.04808299994,19988.642150000003,629.1094469999999,2240.1744439999998,609.905936,327.73811999999987,2009.4057750000024,375.4705209999998,3374.4284149999994,12165.403038000002,1864.8195720000017,627.4269370000001,14.007908,45.954794,2363.291892,175.465963,210.597163,106658.978819,-4434.440819,0.041775,1620.182247,118.834458,24.283326,1880.4887789999993,59.491825,69.307302,11482.882662999997,555.255504,502.628025,466589.927565
USA,Manu,406.85138799999993,21703.177047000005,9256.972324000002,2959.2393610000013,57445.882548999994,16846.666356,67741.520378,1665793.284847,1454826.0231879998,405.87145499999986,22580.658997999995,14936.454974,1308.3222059999998,60056.57448399995,27017.35113700002,13044.179843000002,252933.00502300024,132008.75939600004,4155.562336999999,6526.381617999999,816.3282449999999,9057.226723,20086.994617,3516.7428650000006,1609819.450378,964922.452168,1.2315920000000002,13849.178732,12360.066669,485.439136,37746.18424,28229.03951299999,1882.5972900000002,171822.55886300004,120237.54961400003,10167.463581999997,6836953.243136002
