bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
"Agricultural, forest, and fishery goods",298,0,5188,612,529,0,686,0,0,0,0,0,0,0,2,8,0,0,46,1,0,514,0,0,0,3,0,9,1,62,3,0,0,7962,2444,0,32,1,-48,0,0,2429,10391
Mined and quarried goods,0,0,3,1,17,49036,4405,456,14744,5,2,1,2,2,1,12,27227,0,37,0,0,1,0,0,0,8,0,0,0,0,0,0,0,95960,8,0,0,0,-75,0,0,-67,95893
"Food, beverages and tobacco products",136,0,7176,561,11,32,269,0,0,0,0,0,0,0,0,9,0,0,0,1,3,4237,2,0,0,39,11,0,0,283,38,0,0,12808,9439,0,0,0,-3,0,137,9573,22381
Textile and leather products,97,0,18,9916,134,0,387,12,2,39,174,27,20,147,173,87,2,14,43,244,42,23,11,22,3,32,38,8,5,41,21,32,0,11814,11728,0,43,5,183,0,499,12458,24272
"Wood and paper products, printing and reproduction of recorded media ",4,0,142,349,3909,1,76,14,6,40,152,47,15,17,382,9,147,1,750,60,18,71,112,6,1,28,11,45,9,9,35,2,0,6468,329,0,0,0,27,0,0,356,6824
Petroleum and coal products,40,2,43,67,77,2086,11683,204,120,163,49,45,22,68,8,189,789,6,19,433,5356,425,13,6,22,118,36,9,265,81,25,121,0,22590,1106,0,0,0,125,0,0,1231,23821
Chemical products,702,2,331,1313,344,519,26615,431,174,428,8709,1013,360,1343,248,143,48,61,343,95,91,65,71,2,0,589,99,7,24,4464,19,213,0,48866,4229,0,0,0,-9,0,715,4935,53801
Non-metallic mineral products,0,0,30,2,2,4,203,1366,343,88,1141,465,140,438,27,14,9,1,1573,4,2,55,0,0,0,25,0,0,1,5,0,25,0,5963,195,0,0,0,11,0,0,206,6169
Basic metal products,1,0,0,7,0,7,814,22,18743,2622,2288,2398,923,4485,267,57,30,4,1977,0,41,0,0,0,0,41,0,0,0,86,0,0,0,34813,6,0,0,0,-414,86,0,-322,34491
"Fabricated metal products, except machinery and furniture ",2,5,80,100,14,16,168,31,56,1355,382,225,526,1693,110,86,42,2,448,54,52,103,4,7,2,59,12,205,6,2,2,24,0,5873,529,0,211,509,5,0,0,1254,7127
"Computing machinery, electronic equipment and optical instruments",1,0,0,1,14,6,63,12,14,29,44418,2045,1169,2901,11,141,99,5,169,67,65,12,2420,111,32,1408,49,208,353,997,18,258,0,57096,6995,0,10253,697,208,0,355,18508,75604
Electrical equipment,0,0,0,2,0,1,31,6,42,60,2420,4143,955,2528,11,116,236,0,961,5,80,15,28,0,3,124,24,32,4,7,9,118,0,11961,1135,0,2583,39,54,0,15,3826,15787
Machinery and equipment,5,2,22,36,5,31,232,18,91,273,567,353,7884,3092,7,362,168,13,881,49,60,2,8,8,5,128,18,46,2,12,1,19,0,14400,288,0,18370,66,41,0,0,18765,33165
Transport equipment,1,0,0,0,0,0,16,3,4,15,6,24,79,5260,1,3,2,1,0,6,1610,3,4,0,0,120,6,242,3,1,0,328,0,7738,6305,0,10127,1133,223,0,0,17788,25526
