코드명,서울,인천,경기,대전,세종,충북,충남,광주,전북,전남,대구,경북,부산,울산,경남,강원,제주,전지역
농림수산품,2887,12953,119703,5816,4735,83061,140240,8753,121499,192577,13996,208981,17708,9851,144639,90467,49656,1227524
광산품,78,401,920,13,93,887,463,27,744,929,9,885,80,439,488,5210,293,11960
음식료품,11372,16046,89673,5102,1185,22604,21421,3643,24910,17887,7801,18990,14684,2685,30000,14586,5888,308474
섬유 및 가죽제품,134289,6393,74197,1770,152,4652,4758,2332,4101,1549,29466,23736,29323,5081,10397,522,311,333026
"목재 및 종이, 인쇄",36720,14447,67315,4033,1473,8942,5519,2181,5360,1795,8871,7419,6278,4785,8656,1080,564,185435
석탄 및 석유제품,54,964,172,11,5,100,917,10,21,1635,14,205,91,7383,128,56,1,11767
화학제품,6879,21247,137290,9080,2889,32497,30539,8359,13910,33240,11136,28008,14055,25689,31556,4081,709,411165
비금속광물제품,1050,3084,27184,869,1766,10762,12247,698,5555,7170,1431,13784,2125,2225,8854,9310,1507,109621
1차 금속제품,844,13048,21834,630,145,2717,14433,1466,4546,14611,2281,29033,11639,12004,17815,1001,1,148048
금속가공제품,8280,26651,110112,3723,283,11396,13913,5802,6049,7306,29634,33518,30427,14196,67965,1873,451,371579
"컴퓨터, 전자 및 광학기기",19568,19332,197194,6840,3796,22669,38411,5248,2170,839,8667,62409,13606,2657,10887,4236,166,418692
전기장비,7596,12964,71655,3354,1563,18805,18150,13379,2814,1659,6665,19585,9131,18952,30909,1929,135,239244
기계 및 장비,10744,36949,130074,7222,194,8023,21242,11062,7237,3803,20173,20728,25961,19609,66149,1732,163,391065
운송장비,499,25662,120384,1622,720,8092,26879,22375,29207,7829,10579,23428,21501,75214,109378,3270,1,486639
기타 제조업 제품,15111,13877,83226,3028,212,4795,2374,2196,3196,2123,4831,5286,8150,2599,6899,2462,1109,161474
제조임가공 및 산업용 장비 수리,61097,31524,130636,2564,1612,20027,37343,13934,10351,15527,21493,38307,27162,25453,67008,4107,1170,509315
"전력, 가스 및 증기",3529,9860,10611,577,429,966,8837,431,2385,6669,794,8307,5196,3106,6606,2678,1110,72090
"수도, 폐기물처리 및 재활용서비스",10328,8133,28104,2272,607,5725,8038,3236,5294,6291,4804,9410,7260,2986,10190,3879,1006,117564
건설,227582,84133,444865,30007,25444,53307,100511,39678,63747,86791,62490,108974,86773,47542,107369,63550,28295,1661056
도소매 및 상품중개서비스,1209824,140262,681530,91253,5780,84355,101827,102725,91882,94946,175424,139952,254466,57659,167432,75601,45470,3520385
운송서비스,326718,116187,307469,42171,4269,35255,49682,32132,40466,50083,55884,68019,129111,35954,75793,30719,18396,1418305
음식점 및 숙박서비스,500010,86293,410472,46384,6611,56624,74069,46911,60776,58222,74614,98067,133469,43317,118222,71978,42808,1928846
정보통신 및 방송 서비스,400211,5238,125227,14752,829,4658,6119,6829,4787,5125,13243,10001,15980,3912,10246,7016,5614,639787
금융 및 보험 서비스,293275,21404,86908,19156,1486,17098,15932,23001,19543,18533,30730,21827,48725,11557,31739,12171,8190,681274
부동산서비스,194927,19035,96742,13947,3099,12958,13968,13817,11974,8562,20600,13951,30308,6911,21023,9867,3268,494957
"전문, 과학 및 기술 서비스",551459,45543,369795,53339,4302,21528,40113,23185,19312,17316,31900,40899,51436,22832,44704,16112,6726,1360501
사업지원서비스,443600,48821,207178,45789,3431,33362,41379,25044,18848,25043,42524,40548,84611,30193,48562,27129,14749,1180809
"공공행정, 국방 및 사회보장",173747,45658,223410,29166,5129,35628,53891,25148,53542,67134,46052,66722,61757,17077,75990,57980,18166,1056195
교육서비스,343436,75644,336621,46373,7119,43362,65531,44039,59077,50975,71551,82762,90902,32249,86271,49978,16362,1502252
보건 및 사회복지 서비스,342979,69141,304817,57419,4006,43442,64038,55802,69155,65675,82968,80674,105196,30271,95868,52888,22365,1546705
"예술, 스포츠 및 여가 관련 서비스",131889,15160,99861,11612,1218,10185,16716,8791,14221,11034,12194,16326,23504,6744,20915,19814,10849,431033
기타 서비스,293405,56972,274978,39161,2741,32037,48505,35573,40715,36619,58937,56736,77160,20970,61457,33892,15559,1185415
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
계,5763984,1103024,5390156,599053,97323,750519,1098004,587804,817391,919495,961755,1397476,1437772,602101,1594115,681174,321056,24122201
