zz,xx,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,ID,9111,9112,9121,9122,9131,9132,9140,FD,TD,9310,9321,9322,9329,9331,9332,TS
A,농림수산품,3212554 ,5474 ,35481986 ,756009 ,992432 ,6991 ,1130789 ,8002 ,16708 ,16540 ,19620 ,6782 ,19744 ,14719 ,36415 ,530827 ,5635 ,7343 ,500720 ,114501 ,27610 ,9155239 ,35254 ,52341 ,9507 ,151593 ,20219 ,303902 ,109401 ,1150070 ,165492 ,82448 ,30320 ,54177187 ,17010099 ,0 ,430212 ,16075 ,1209012 ,0 ,687127 ,19352525 ,73529712 ,61371723 ,11574286 ,583703 ,12157989 ,0 ,0 ,73529712 
B,광산품,1031 ,2070 ,26495 ,4943 ,26272 ,57488159 ,5407713 ,3412974 ,17536211 ,25777 ,24451 ,6453 ,12247 ,5656 ,5438 ,30932 ,31942818 ,39977 ,264933 ,0 ,0 ,4295 ,0 ,0 ,117 ,16594 ,5368 ,5740 ,158 ,5391 ,1155 ,1038 ,57 ,116304463 ,13052 ,0 ,0 ,0 ,-124793 ,0 ,129200 ,17459 ,116321922 ,4125218 ,108320520 ,3876184 ,112196704 ,0 ,0 ,116321922 
C01,음식료품,9258987 ,8786 ,23173393 ,826237 ,75433 ,74386 ,1218593 ,38360 ,81680 ,81574 ,71030 ,35104 ,90315 ,82226 ,10854 ,672640 ,30807 ,34208 ,83191 ,1137618 ,268108 ,38925388 ,234917 ,304225 ,8942 ,1151556 ,309967 ,910506 ,388021 ,1750548 ,2027967 ,490916 ,136940 ,83993423 ,56748629 ,0 ,0 ,0 ,55403 ,0 ,7536286 ,64340318 ,148333741 ,122147220 ,22959153 ,3227368 ,26186521 ,0 ,0 ,148333741 
C02,섬유 및 가죽제품,660079 ,11571 ,169378 ,23039821 ,440861 ,64230 ,1715128 ,138318 ,236552 ,432528 ,429473 ,224000 ,207035 ,1524055 ,1201077 ,1704203 ,77534 ,166150 ,338088 ,1524705 ,1165357 ,818735 ,205733 ,362549 ,103664 ,504247 ,651399 ,726881 ,270387 ,697078 ,491406 ,863380 ,38474 ,41204076 ,30363526 ,0 ,130013 ,16859 ,975325 ,0 ,35039496 ,66525219 ,107729295 ,79329137 ,26335200 ,2064958 ,28400158 ,0 ,0 ,107729295 
C03,"목재 및 종이, 인쇄",690029 ,13098 ,2388874 ,908395 ,13826619 ,130377 ,1668242 ,452652 ,300781 ,817726 ,694674 ,760685 ,430157 ,340350 ,1745523 ,515977 ,220717 ,57491 ,4773713 ,2750656 ,1096526 ,946069 ,2191624 ,1544778 ,141217 ,3070602 ,388584 ,585584 ,805475 ,526148 ,496882 ,626142 ,34582 ,45940949 ,1260260 ,0 ,0 ,0 ,102852 ,0 ,3594127 ,4957239 ,50898188 ,42914016 ,7780134 ,204038 ,7984172 ,0 ,0 ,50898188 
C04,석탄 및 석유제품,1266307 ,98458 ,338535 ,308326 ,232601 ,4344479 ,26403323 ,1591106 ,703781 ,667136 ,327760 ,336343 ,388862 ,927959 ,73034 ,835793 ,3220250 ,271001 ,1712363 ,4872877 ,21668416 ,1438560 ,401813 ,316290 ,692678 ,2298900 ,483419 ,1343491 ,1956795 ,1578468 ,420084 ,923577 ,61065 ,82503850 ,14738431 ,0 ,0 ,0 ,512111 ,0 ,40266835 ,55517377 ,138021227 ,110150033 ,26523754 ,1347440 ,27871194 ,0 ,0 ,138021227 
C05,화학제품,4778239 ,125214 ,3227541 ,7161318 ,2960661 ,2115242 ,81130283 ,1782099 ,1592673 ,5166970 ,21829847 ,7499233 ,4765790 ,17823516 ,2247226 ,2370410 ,1925177 ,576759 ,8882512 ,3364444 ,1812591 ,1701332 ,639975 ,192230 ,142371 ,5229163 ,1567884 ,537284 ,655318 ,19887342 ,602058 ,3519156 ,141465 ,217953323 ,8118278 ,0 ,0 ,0 ,-617312 ,0 ,82878957 ,90379923 ,308333246 ,245383162 ,61160252 ,1789832 ,62950084 ,0 ,0 ,308333246 
C06,비금속광물제품,18924 ,8390 ,608147 ,44385 ,20680 ,71058 ,1004915 ,6772643 ,2485838 ,510779 ,5362759 ,1230988 ,419784 ,1684962 ,181802 ,199332 ,-45330 ,108908 ,21717935 ,70266 ,98756 ,361941 ,10993 ,6772 ,50067 ,197259 ,83032 ,98554 ,62038 ,69246 ,159806 ,100758 ,7001 ,43783388 ,242729 ,0 ,0 ,0 ,-17890 ,0 ,2889084 ,3113923 ,46897311 ,39678688 ,6861754 ,356869 ,7218623 ,0 ,0 ,46897311 
C07,1차 금속제품,53215 ,5588 ,7114 ,24842 ,40386 ,182097 ,1892038 ,653882 ,45400975 ,18769666 ,5640802 ,10003262 ,10701774 ,20035896 ,1342043 ,1016019 ,124596 ,83206 ,13790689 ,-26707 ,86698 ,1269 ,-4243 ,-46 ,804 ,343453 ,-91 ,1180 ,-17869 ,170389 ,-1714 ,2821 ,12561 ,130336595 ,-556222 ,0 ,-2448262 ,-63985 ,-1720047 ,206340 ,39517282 ,34935106 ,165271701 ,124914202 ,40072086 ,285413 ,40357499 ,0 ,0 ,165271701 
C08,금속가공제품,60577 ,60809 ,1758361 ,336452 ,318216 ,1169799 ,1845131 ,488390 ,1177535 ,14796300 ,3400533 ,3690682 ,12990483 ,21039679 ,1115831 ,1346561 ,549848 ,134954 ,17033816 ,569260 ,719412 ,763312 ,137377 ,167559 ,61030 ,650608 ,310792 ,516854 ,243068 ,144897 ,210419 ,894216 ,17309 ,88720070 ,1323546 ,0 ,3799517 ,2441968 ,449595 ,0 ,11890695 ,19905321 ,108625391 ,100287562 ,8026387 ,311442 ,8337829 ,0 ,0 ,108625391 
