name,Agriculture,Manufacturing,Services,Total intermediate demand,Conumption,Investment,Exports,Total final demand,Total demand,Total output,Imports,Total supply
Agriculture,2,14,4,20,3,3,2,8,28,14,14,28
Manufacturing,5,94,39,138,32,19,73,124,262,203,59,262
Services,2,28,58,88,106,47,15,168,256,244,12,256
Total intermediate input,9,136,101,246,141,69,90,300,546,461,85,546
Compensation of employees,1,26,71,98,0,0,0,0,0,0,0,0
Net operating surplus,2,17,37,56,0,0,0,0,0,0,0,0
Consumption of fixed capital,1,15,25,41,0,0,0,0,0,0,0,0
Other taxes on production less subsidies,1,9,10,20,0,0,0,0,0,0,0,0
Total value added,5,67,143,215,0,0,0,0,0,0,0,0
Total input,14,203,244,461,0,0,0,0,0,0,0,0
