"                          Commodity
 Commodity",ccc,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290,9310,9321,9322,9329,9331,9332,9390
aa,bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand,Gross domestic output,Imports,Taxes on products (Imports),Imports and related taxes,Trade margins,Transport margins,Total supply
A,"Agricultural, forest, and fishery goods","3,212,554 ","5,474 ","35,481,986 ","756,009 ","992,432 ","6,991 ","1,130,789 ","8,002 ","16,708 ","16,540 ","19,620 ","6,782 ","19,744 ","14,719 ","36,415 ","530,827 ","5,635 ","7,343 ","500,720 ","114,501 ","27,610 ","9,155,239 ","35,254 ","52,341 ","9,507 ","151,593 ","20,219 ","303,902 ","109,401 ","1,150,070 ","165,492 ","82,448 ","30,320 ","54,177,187 ","17,010,099 ",0 ,"430,212 ","16,075 ","1,209,012 ",0 ,"687,127 ","19,352,525 ","73,529,712 ","61,371,723 ","11,574,286 ","583,703 ","12,157,989 ",0 ,0 ,"73,529,712 "
B,Mined and quarried goods,"1,031 ","2,070 ","26,495 ","4,943 ","26,272 ","57,488,159 ","5,407,713 ","3,412,974 ","17,536,211 ","25,777 ","24,451 ","6,453 ","12,247 ","5,656 ","5,438 ","30,932 ","31,942,818 ","39,977 ","264,933 ",0 ,0 ,"4,295 ",0 ,0 ,117 ,"16,594 ","5,368 ","5,740 ",158 ,"5,391 ","1,155 ","1,038 ",57 ,"116,304,463 ","13,052 ",0 ,0 ,0 ,"-124,793 ",0 ,"129,200 ","17,459 ","116,321,922 ","4,125,218 ","108,320,520 ","3,876,184 ","112,196,704 ",0 ,0 ,"116,321,922 "
C01,"Food, beverages and tobacco products","9,258,987 ","8,786 ","23,173,393 ","826,237 ","75,433 ","74,386 ","1,218,593 ","38,360 ","81,680 ","81,574 ","71,030 ","35,104 ","90,315 ","82,226 ","10,854 ","672,640 ","30,807 ","34,208 ","83,191 ","1,137,618 ","268,108 ","38,925,388 ","234,917 ","304,225 ","8,942 ","1,151,556 ","309,967 ","910,506 ","388,021 ","1,750,548 ","2,027,967 ","490,916 ","136,940 ","83,993,423 ","56,748,629 ",0 ,0 ,0 ,"55,403 ",0 ,"7,536,286 ","64,340,318 ","148,333,741 ","122,147,220 ","22,959,153 ","3,227,368 ","26,186,521 ",0 ,0 ,"148,333,741 "
C02,Textile and leather products,"660,079 ","11,571 ","169,378 ","23,039,821 ","440,861 ","64,230 ","1,715,128 ","138,318 ","236,552 ","432,528 ","429,473 ","224,000 ","207,035 ","1,524,055 ","1,201,077 ","1,704,203 ","77,534 ","166,150 ","338,088 ","1,524,705 ","1,165,357 ","818,735 ","205,733 ","362,549 ","103,664 ","504,247 ","651,399 ","726,881 ","270,387 ","697,078 ","491,406 ","863,380 ","38,474 ","41,204,076 ","30,363,526 ",0 ,"130,013 ","16,859 ","975,325 ",0 ,"35,039,496 ","66,525,219 ","107,729,295 ","79,329,137 ","26,335,200 ","2,064,958 ","28,400,158 ",0 ,0 ,"107,729,295 "
C03,"Wood and paper products, printing and reproduction of recorded media ","690,029 ","13,098 ","2,388,874 ","908,395 ","13,826,619 ","130,377 ","1,668,242 ","452,652 ","300,781 ","817,726 ","694,674 ","760,685 ","430,157 ","340,350 ","1,745,523 ","515,977 ","220,717 ","57,491 ","4,773,713 ","2,750,656 ","1,096,526 ","946,069 ","2,191,624 ","1,544,778 ","141,217 ","3,070,602 ","388,584 ","585,584 ","805,475 ","526,148 ","496,882 ","626,142 ","34,582 ","45,940,949 ","1,260,260 ",0 ,0 ,0 ,"102,852 ",0 ,"3,594,127 ","4,957,239 ","50,898,188 ","42,914,016 ","7,780,134 ","204,038 ","7,984,172 ",0 ,0 ,"50,898,188 "
C04,Petroleum and coal products,"1,266,307 ","98,458 ","338,535 ","308,326 ","232,601 ","4,344,479 ","26,403,323 ","1,591,106 ","703,781 ","667,136 ","327,760 ","336,343 ","388,862 ","927,959 ","73,034 ","835,793 ","3,220,250 ","271,001 ","1,712,363 ","4,872,877 ","21,668,416 ","1,438,560 ","401,813 ","316,290 ","692,678 ","2,298,900 ","483,419 ","1,343,491 ","1,956,795 ","1,578,468 ","420,084 ","923,577 ","61,065 ","82,503,850 ","14,738,431 ",0 ,0 ,0 ,"512,111 ",0 ,"40,266,835 ","55,517,377 ","138,021,227 ","110,150,033 ","26,523,754 ","1,347,440 ","27,871,194 ",0 ,0 ,"138,021,227 "
C05,Chemical products,"4,778,239 ","125,214 ","3,227,541 ","7,161,318 ","2,960,661 ","2,115,242 ","81,130,283 ","1,782,099 ","1,592,673 ","5,166,970 ","21,829,847 ","7,499,233 ","4,765,790 ","17,823,516 ","2,247,226 ","2,370,410 ","1,925,177 ","576,759 ","8,882,512 ","3,364,444 ","1,812,591 ","1,701,332 ","639,975 ","192,230 ","142,371 ","5,229,163 ","1,567,884 ","537,284 ","655,318 ","19,887,342 ","602,058 ","3,519,156 ","141,465 ","217,953,323 ","8,118,278 ",0 ,0 ,0 ,"-617,312 ",0 ,"82,878,957 ","90,379,923 ","308,333,246 ","245,383,162 ","61,160,252 ","1,789,832 ","62,950,084 ",0 ,0 ,"308,333,246 "
C06,Non-metallic mineral products,"18,924 ","8,390 ","608,147 ","44,385 ","20,680 ","71,058 ","1,004,915 ","6,772,643 ","2,485,838 ","510,779 ","5,362,759 ","1,230,988 ","419,784 ","1,684,962 ","181,802 ","199,332 ","-45,330 ","108,908 ","21,717,935 ","70,266 ","98,756 ","361,941 ","10,993 ","6,772 ","50,067 ","197,259 ","83,032 ","98,554 ","62,038 ","69,246 ","159,806 ","100,758 ","7,001 ","43,783,388 ","242,729 ",0 ,0 ,0 ,"-17,890 ",0 ,"2,889,084 ","3,113,923 ","46,897,311 ","39,678,688 ","6,861,754 ","356,869 ","7,218,623 ",0 ,0 ,"46,897,311 "
C07,Basic metal products,"53,215 ","5,588 ","7,114 ","24,842 ","40,386 ","182,097 ","1,892,038 ","653,882 ","45,400,975 ","18,769,666 ","5,640,802 ","10,003,262 ","10,701,774 ","20,035,896 ","1,342,043 ","1,016,019 ","124,596 ","83,206 ","13,790,689 ","-26,707 ","86,698 ","1,269 ","-4,243 ",-46 ,804 ,"343,453 ",-91 ,"1,180 ","-17,869 ","170,389 ","-1,714 ","2,821 ","12,561 ","130,336,595 ","-556,222 ",0 ,"-2,448,262 ","-63,985 ","-1,720,047 ","206,340 ","39,517,282 ","34,935,106 ","165,271,701 ","124,914,202 ","40,072,086 ","285,413 ","40,357,499 ",0 ,0 ,"165,271,701 "
