bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
"Agricultural, forest, and fishery goods",2862,5,31526,648,863,6,980,7,15,15,18,6,18,13,32,475,5,7,446,103,25,8173,32,47,9,136,18,272,98,1027,148,74,27,48136,15115,0,383,15,1085,0,615,17213,65349
Mined and quarried goods,1,2,23,4,23,49139,4633,3035,14999,23,21,6,11,5,5,27,27304,36,236,0,0,4,0,0,0,15,5,5,0,5,1,1,0,99569,12,0,0,0,-108,0,116,20,99589
"Food, beverages and tobacco products",8285,8,20408,713,67,66,1078,34,73,73,64,31,81,74,10,602,28,31,74,1019,240,34655,210,272,8,1029,277,815,347,1554,1814,440,123,74603,50366,0,0,0,49,0,6742,57157,131760
Textile and leather products,587,10,151,20158,388,57,1517,123,211,386,376,199,185,1358,1067,1522,69,148,301,1353,1042,733,184,324,92,450,582,650,242,622,440,771,34,36332,26630,0,115,15,864,0,31352,58976,95308
"Wood and paper products, printing and reproduction of recorded media ",617,12,2132,797,12195,117,1490,404,270,730,615,679,385,304,1544,461,191,52,4238,2460,981,844,1957,1383,127,2749,347,522,720,471,444,560,31,40829,1113,0,0,0,91,0,3218,4422,45251
Petroleum and coal products,1132,88,301,272,205,3791,23086,1415,624,590,291,299,347,828,65,740,2846,242,1532,4343,19148,1268,360,283,619,2053,431,1203,1739,1410,374,821,55,72801,13145,0,0,0,453,0,36058,49656,122457
Chemical products,4245,113,2875,6350,2635,1870,71379,1575,1418,4606,19132,6667,4250,15897,2000,2116,1722,513,7938,3008,1619,1520,569,172,127,4654,1399,481,586,17595,538,3141,127,192837,7067,0,0,0,-553,0,74182,80696,273533
Non-metallic mineral products,17,8,543,40,18,63,891,5999,2210,453,4748,1080,369,1488,161,177,-41,97,19373,62,89,321,10,6,45,176,74,88,55,62,143,89,6,38920,208,0,0,0,-17,0,2587,2778,41698
Basic metal products,48,5,6,22,36,162,1655,584,39760,16682,4942,8843,9539,17727,1189,907,110,75,12255,-24,76,1,-4,0,1,306,0,1,-16,149,-2,2,11,115048,-499,0,-2192,-57,-1521,180,35386,31297,146345
"Fabricated metal products, except machinery and furniture ",54,54,1571,296,284,1046,1644,436,1052,13185,3027,3295,11607,18760,994,1202,490,121,15232,507,642,678,123,149,55,580,277,453,218,130,188,800,15,79165,1160,0,3392,2162,402,0,10648,17764,96929
