cons,old,new,,,,,,
AUS_HFCE,1,10,,,,,,
AUS_NPISH,2,10,,,,,,
AUS_GGFC,3,10,,,,,,
AUS_GFCF,4,11,,,,,,
AUS_INVNT,5,11,,,,,,
AUS_DPABR,6,12,,,,,,
AUT_HFCE,7,10,,,,,,
AUT_NPISH,8,10,,,,,,
AUT_GGFC,9,10,,,,,,
AUT_GFCF,10,11,,,,,,
AUT_INVNT,11,11,,,,,,
AUT_DPABR,12,12,,,,,,
BEL_HFCE,13,10,,,,,,
BEL_NPISH,14,10,,,,,,
BEL_GGFC,15,10,,,,,,
BEL_GFCF,16,11,,,,,,
BEL_INVNT,17,11,,,,,,
BEL_DPABR,18,12,,,,,,
CAN_HFCE,19,10,,,,,,
CAN_NPISH,20,10,,,,,,
CAN_GGFC,21,10,,,,,,
CAN_GFCF,22,11,,,,,,
CAN_INVNT,23,11,,,,,,
CAN_DPABR,24,12,,,,,,
CHL_HFCE,25,10,,,,,,
CHL_NPISH,26,10,,,,,,
CHL_GGFC,27,10,,,,,,
CHL_GFCF,28,11,,,,,,
CHL_INVNT,29,11,,,,,,
CHL_DPABR,30,12,,,,,,
COL_HFCE,31,10,,,,,,
COL_NPISH,32,10,,,,,,
COL_GGFC,33,10,,,,,,
COL_GFCF,34,11,,,,,,
COL_INVNT,35,11,,,,,,
COL_DPABR,36,12,,,,,,
CRI_HFCE,37,10,,,,,,
CRI_NPISH,38,10,,,,,,
CRI_GGFC,39,10,,,,,,
CRI_GFCF,40,11,,,,,,
CRI_INVNT,41,11,,,,,,
CRI_DPABR,42,12,,,,,,
CZE_HFCE,43,10,,,,,,
CZE_NPISH,44,10,,,,,,
CZE_GGFC,45,10,,,,,,
CZE_GFCF,46,11,,,,,,
CZE_INVNT,47,11,,,,,,
CZE_DPABR,48,12,,,,,,
DNK_HFCE,49,10,,,,,,
DNK_NPISH,50,10,,,,,,
DNK_GGFC,51,10,,,,,,
DNK_GFCF,52,11,,,,,,
DNK_INVNT,53,11,,,,,,
DNK_DPABR,54,12,,,,,,
EST_HFCE,55,10,,,,,,
EST_NPISH,56,10,,,,,,
EST_GGFC,57,10,,,,,,
EST_GFCF,58,11,,,,,,
EST_INVNT,59,11,,,,,,
EST_DPABR,60,12,,,,,,
FIN_HFCE,61,10,,,,,,
FIN_NPISH,62,10,,,,,,
FIN_GGFC,63,10,,,,,,
FIN_GFCF,64,11,,,,,,
FIN_INVNT,65,11,,,,,,
FIN_DPABR,66,12,,,,,,
FRA_HFCE,67,10,,,,,,
FRA_NPISH,68,10,,,,,,
FRA_GGFC,69,10,,,,,,
FRA_GFCF,70,11,,,,,,
FRA_INVNT,71,11,,,,,,
FRA_DPABR,72,12,,,,,,
DEU_HFCE,73,10,,,,,,
DEU_NPISH,74,10,,,,,,
DEU_GGFC,75,10,,,,,,
DEU_GFCF,76,11,,,,,,
DEU_INVNT,77,11,,,,,,
DEU_DPABR,78,12,,,,,,
GRC_HFCE,79,10,,,,,,
GRC_NPISH,80,10,,,,,,
GRC_GGFC,81,10,,,,,,
GRC_GFCF,82,11,,,,,,
GRC_INVNT,83,11,,,,,,
GRC_DPABR,84,12,,,,,,
HUN_HFCE,85,10,,,,,,
HUN_NPISH,86,10,,,,,,
HUN_GGFC,87,10,,,,,,
HUN_GFCF,88,11,,,,,,
HUN_INVNT,89,11,,,,,,
HUN_DPABR,90,12,,,,,,
ISL_HFCE,91,10,,,,,,
ISL_NPISH,92,10,,,,,,
ISL_GGFC,93,10,,,,,,
ISL_GFCF,94,11,,,,,,
ISL_INVNT,95,11,,,,,,
ISL_DPABR,96,12,,,,,,
IRL_HFCE,97,10,,,,,,
IRL_NPISH,98,10,,,,,,
IRL_GGFC,99,10,,,,,,
IRL_GFCF,100,11,,,,,,
IRL_INVNT,101,11,,,,,,
IRL_DPABR,102,12,,,,,,
ISR_HFCE,103,10,,,,,,
ISR_NPISH,104,10,,,,,,
ISR_GGFC,105,10,,,,,,
ISR_GFCF,106,11,,,,,,
ISR_INVNT,107,11,,,,,,
ISR_DPABR,108,12,,,,,,
ITA_HFCE,109,10,,,,,,
ITA_NPISH,110,10,,,,,,
ITA_GGFC,111,10,,,,,,
ITA_GFCF,112,11,,,,,,
ITA_INVNT,113,11,,,,,,
ITA_DPABR,114,12,,,,,,
JPN_HFCE,115,10,,,,,,
JPN_NPISH,116,10,,,,,,
JPN_GGFC,117,10,,,,,,
JPN_GFCF,118,11,,,,,,
JPN_INVNT,119,11,,,,,,
JPN_DPABR,120,12,,,,,,
KOR_HFCE,121,1,,,,,,
KOR_NPISH,122,1,,,,,,
KOR_GGFC,123,1,,,,,,
KOR_GFCF,124,2,,,,,,
KOR_INVNT,125,2,,,,,,
KOR_DPABR,126,3,,,,,,
LVA_HFCE,127,10,,,,,,
LVA_NPISH,128,10,,,,,,
LVA_GGFC,129,10,,,,,,
LVA_GFCF,130,11,,,,,,
LVA_INVNT,131,11,,,,,,
LVA_DPABR,132,12,,,,,,
LTU_HFCE,133,10,,,,,,
LTU_NPISH,134,10,,,,,,
LTU_GGFC,135,10,,,,,,
LTU_GFCF,136,11,,,,,,
LTU_INVNT,137,11,,,,,,
LTU_DPABR,138,12,,,,,,
LUX_HFCE,139,10,,,,,,
LUX_NPISH,140,10,,,,,,
LUX_GGFC,141,10,,,,,,
LUX_GFCF,142,11,,,,,,
LUX_INVNT,143,11,,,,,,
LUX_DPABR,144,12,,,,,,
MEX_HFCE,145,10,,,,,,
MEX_NPISH,146,10,,,,,,
MEX_GGFC,147,10,,,,,,
MEX_GFCF,148,11,,,,,,
MEX_INVNT,149,11,,,,,,
MEX_DPABR,150,12,,,,,,
NLD_HFCE,151,10,,,,,,
NLD_NPISH,152,10,,,,,,
NLD_GGFC,153,10,,,,,,
NLD_GFCF,154,11,,,,,,
NLD_INVNT,155,11,,,,,,
NLD_DPABR,156,12,,,,,,
NZL_HFCE,157,10,,,,,,
NZL_NPISH,158,10,,,,,,
NZL_GGFC,159,10,,,,,,
NZL_GFCF,160,11,,,,,,
NZL_INVNT,161,11,,,,,,
NZL_DPABR,162,12,,,,,,
NOR_HFCE,163,10,,,,,,
NOR_NPISH,164,10,,,,,,
NOR_GGFC,165,10,,,,,,
NOR_GFCF,166,11,,,,,,
NOR_INVNT,167,11,,,,,,
NOR_DPABR,168,12,,,,,,
POL_HFCE,169,10,,,,,,
POL_NPISH,170,10,,,,,,
POL_GGFC,171,10,,,,,,
POL_GFCF,172,11,,,,,,
POL_INVNT,173,11,,,,,,
POL_DPABR,174,12,,,,,,
PRT_HFCE,175,10,,,,,,
PRT_NPISH,176,10,,,,,,
PRT_GGFC,177,10,,,,,,
PRT_GFCF,178,11,,,,,,
PRT_INVNT,179,11,,,,,,
PRT_DPABR,180,12,,,,,,
SVK_HFCE,181,10,,,,,,
SVK_NPISH,182,10,,,,,,
SVK_GGFC,183,10,,,,,,
SVK_GFCF,184,11,,,,,,
SVK_INVNT,185,11,,,,,,
SVK_DPABR,186,12,,,,,,
SVN_HFCE,187,10,,,,,,
SVN_NPISH,188,10,,,,,,
SVN_GGFC,189,10,,,,,,
SVN_GFCF,190,11,,,,,,
SVN_INVNT,191,11,,,,,,
SVN_DPABR,192,12,,,,,,
ESP_HFCE,193,10,,,,,,
ESP_NPISH,194,10,,,,,,
ESP_GGFC,195,10,,,,,,
ESP_GFCF,196,11,,,,,,
ESP_INVNT,197,11,,,,,,
ESP_DPABR,198,12,,,,,,
SWE_HFCE,199,10,,,,,,
SWE_NPISH,200,10,,,,,,
SWE_GGFC,201,10,,,,,,
SWE_GFCF,202,11,,,,,,
SWE_INVNT,203,11,,,,,,
SWE_DPABR,204,12,,,,,,
CHE_HFCE,205,10,,,,,,
CHE_NPISH,206,10,,,,,,
CHE_GGFC,207,10,,,,,,
CHE_GFCF,208,11,,,,,,
CHE_INVNT,209,11,,,,,,
CHE_DPABR,210,12,,,,,,
TUR_HFCE,211,10,,,,,,
TUR_NPISH,212,10,,,,,,
TUR_GGFC,213,10,,,,,,
TUR_GFCF,214,11,,,,,,
TUR_INVNT,215,11,,,,,,
TUR_DPABR,216,12,,,,,,
GBR_HFCE,217,10,,,,,,
GBR_NPISH,218,10,,,,,,
GBR_GGFC,219,10,,,,,,
GBR_GFCF,220,11,,,,,,
GBR_INVNT,221,11,,,,,,
GBR_DPABR,222,12,,,,,,
USA_HFCE,223,7,,,,,,
USA_NPISH,224,7,,,,,,
USA_GGFC,225,7,,,,,,
USA_GFCF,226,8,,,,,,
USA_INVNT,227,8,,,,,,
USA_DPABR,228,9,,,,,,
ARG_HFCE,229,10,,,,,,
ARG_NPISH,230,10,,,,,,
ARG_GGFC,231,10,,,,,,
