cons,old,new
AUS_01T02,1,10
AUS_03,2,10
AUS_05T06,3,11
AUS_07T08,4,11
AUS_09,5,11
AUS_10T12,6,11
AUS_13T15,7,11
AUS_16,8,11
AUS_17T18,9,11
AUS_19,10,11
AUS_20,11,11
AUS_21,12,11
AUS_22,13,11
AUS_23,14,11
AUS_24,15,11
AUS_25,16,11
AUS_26,17,11
AUS_27,18,11
AUS_28,19,11
AUS_29,20,11
AUS_30,21,11
AUS_31T33,22,11
AUS_35,23,12
AUS_36T39,24,12
AUS_41T43,25,12
AUS_45T47,26,12
AUS_49,27,12
AUS_50,28,12
AUS_51,29,12
AUS_52,30,12
AUS_53,31,12
AUS_55T56,32,12
AUS_58T60,33,12
AUS_61,34,12
AUS_62T63,35,12
AUS_64T66,36,12
AUS_68,37,12
AUS_69T75,38,12
AUS_77T82,39,12
AUS_84,40,12
AUS_85,41,12
AUS_86T88,42,12
AUS_90T93,43,12
AUS_94T96,44,12
AUS_97T98,45,12
AUT_01T02,46,10
AUT_03,47,10
AUT_05T06,48,11
AUT_07T08,49,11
AUT_09,50,11
AUT_10T12,51,11
AUT_13T15,52,11
AUT_16,53,11
AUT_17T18,54,11
AUT_19,55,11
AUT_20,56,11
AUT_21,57,11
AUT_22,58,11
AUT_23,59,11
AUT_24,60,11
AUT_25,61,11
AUT_26,62,11
AUT_27,63,11
AUT_28,64,11
AUT_29,65,11
AUT_30,66,11
AUT_31T33,67,11
AUT_35,68,12
AUT_36T39,69,12
AUT_41T43,70,12
AUT_45T47,71,12
AUT_49,72,12
AUT_50,73,12
AUT_51,74,12
AUT_52,75,12
AUT_53,76,12
AUT_55T56,77,12
AUT_58T60,78,12
AUT_61,79,12
AUT_62T63,80,12
AUT_64T66,81,12
AUT_68,82,12
AUT_69T75,83,12
AUT_77T82,84,12
AUT_84,85,12
AUT_85,86,12
AUT_86T88,87,12
AUT_90T93,88,12
AUT_94T96,89,12
AUT_97T98,90,12
BEL_01T02,91,10
BEL_03,92,10
BEL_05T06,93,11
BEL_07T08,94,11
BEL_09,95,11
BEL_10T12,96,11
BEL_13T15,97,11
BEL_16,98,11
BEL_17T18,99,11
BEL_19,100,11
BEL_20,101,11
BEL_21,102,11
BEL_22,103,11
BEL_23,104,11
BEL_24,105,11
BEL_25,106,11
BEL_26,107,11
BEL_27,108,11
BEL_28,109,11
BEL_29,110,11
BEL_30,111,11
BEL_31T33,112,11
BEL_35,113,12
BEL_36T39,114,12
BEL_41T43,115,12
BEL_45T47,116,12
BEL_49,117,12
BEL_50,118,12
BEL_51,119,12
BEL_52,120,12
BEL_53,121,12
BEL_55T56,122,12
BEL_58T60,123,12
BEL_61,124,12
BEL_62T63,125,12
BEL_64T66,126,12
BEL_68,127,12
BEL_69T75,128,12
BEL_77T82,129,12
BEL_84,130,12
BEL_85,131,12
BEL_86T88,132,12
BEL_90T93,133,12
BEL_94T96,134,12
BEL_97T98,135,12
CAN_01T02,136,10
CAN_03,137,10
CAN_05T06,138,11
CAN_07T08,139,11
CAN_09,140,11
CAN_10T12,141,11
CAN_13T15,142,11
CAN_16,143,11
CAN_17T18,144,11
CAN_19,145,11
CAN_20,146,11
CAN_21,147,11
CAN_22,148,11
CAN_23,149,11
CAN_24,150,11
CAN_25,151,11
CAN_26,152,11
CAN_27,153,11
CAN_28,154,11
CAN_29,155,11
CAN_30,156,11
CAN_31T33,157,11
CAN_35,158,12
CAN_36T39,159,12
CAN_41T43,160,12
CAN_45T47,161,12
CAN_49,162,12
CAN_50,163,12
CAN_51,164,12
CAN_52,165,12
CAN_53,166,12
CAN_55T56,167,12
CAN_58T60,168,12
CAN_61,169,12
CAN_62T63,170,12
CAN_64T66,171,12
CAN_68,172,12
CAN_69T75,173,12
CAN_77T82,174,12
CAN_84,175,12
CAN_85,176,12
CAN_86T88,177,12
CAN_90T93,178,12
CAN_94T96,179,12
CAN_97T98,180,12
CHL_01T02,181,10
CHL_03,182,10
CHL_05T06,183,11
CHL_07T08,184,11
CHL_09,185,11
CHL_10T12,186,11
CHL_13T15,187,11
CHL_16,188,11
CHL_17T18,189,11
CHL_19,190,11
CHL_20,191,11
CHL_21,192,11
CHL_22,193,11
CHL_23,194,11
CHL_24,195,11
CHL_25,196,11
CHL_26,197,11
CHL_27,198,11
CHL_28,199,11
CHL_29,200,11
CHL_30,201,11
CHL_31T33,202,11
CHL_35,203,12
CHL_36T39,204,12
CHL_41T43,205,12
CHL_45T47,206,12
CHL_49,207,12
CHL_50,208,12
CHL_51,209,12
CHL_52,210,12
CHL_53,211,12
CHL_55T56,212,12
CHL_58T60,213,12
CHL_61,214,12
CHL_62T63,215,12
CHL_64T66,216,12
CHL_68,217,12
CHL_69T75,218,12
CHL_77T82,219,12
CHL_84,220,12
CHL_85,221,12
CHL_86T88,222,12
CHL_90T93,223,12
CHL_94T96,224,12
CHL_97T98,225,12
COL_01T02,226,10
COL_03,227,10
COL_05T06,228,11
COL_07T08,229,11
COL_09,230,11
COL_10T12,231,11
COL_13T15,232,11
COL_16,233,11
COL_17T18,234,11
COL_19,235,11
COL_20,236,11
COL_21,237,11
COL_22,238,11
COL_23,239,11
COL_24,240,11
COL_25,241,11
COL_26,242,11
COL_27,243,11
COL_28,244,11
COL_29,245,11
COL_30,246,11
COL_31T33,247,11
COL_35,248,12
COL_36T39,249,12
COL_41T43,250,12
COL_45T47,251,12
COL_49,252,12
COL_50,253,12
COL_51,254,12
COL_52,255,12
COL_53,256,12
COL_55T56,257,12
COL_58T60,258,12
COL_61,259,12
COL_62T63,260,12
COL_64T66,261,12
COL_68,262,12
COL_69T75,263,12
COL_77T82,264,12
COL_84,265,12
COL_85,266,12
COL_86T88,267,12
COL_90T93,268,12
COL_94T96,269,12
COL_97T98,270,12
CRI_01T02,271,10
CRI_03,272,10
CRI_05T06,273,11
CRI_07T08,274,11
CRI_09,275,11
CRI_10T12,276,11
CRI_13T15,277,11
CRI_16,278,11
CRI_17T18,279,11
CRI_19,280,11
CRI_20,281,11
CRI_21,282,11
CRI_22,283,11
CRI_23,284,11
CRI_24,285,11
CRI_25,286,11
CRI_26,287,11
CRI_27,288,11
CRI_28,289,11
CRI_29,290,11
CRI_30,291,11
CRI_31T33,292,11
CRI_35,293,12
CRI_36T39,294,12
CRI_41T43,295,12
CRI_45T47,296,12
CRI_49,297,12
CRI_50,298,12
CRI_51,299,12
CRI_52,300,12
CRI_53,301,12
CRI_55T56,302,12
CRI_58T60,303,12
CRI_61,304,12
CRI_62T63,305,12
CRI_64T66,306,12
