cons,old,new
ARG_A01_02,1,7
ARG_A03,2,7
ARG_B05_06,3,8
ARG_B07_08,4,8
ARG_B09,5,8
ARG_C10T12,6,8
ARG_C13T15,7,8
ARG_C16,8,8
ARG_C17_18,9,8
ARG_C19,10,8
ARG_C20,11,8
ARG_C21,12,8
ARG_C22,13,8
ARG_C23,14,8
ARG_C24,15,8
ARG_C25,16,8
ARG_C26,17,8
ARG_C27,18,8
ARG_C28,19,8
ARG_C29,20,8
ARG_C30,21,8
ARG_C31T33,22,8
ARG_D,23,9
ARG_E,24,9
ARG_F,25,9
ARG_G,26,9
ARG_H49,27,9
ARG_H50,28,9
ARG_H51,29,9
ARG_H52,30,9
ARG_H53,31,9
ARG_I,32,9
ARG_J58T60,33,9
ARG_J61,34,9
ARG_J62_63,35,9
ARG_K,36,9
ARG_L,37,9
ARG_M,38,9
ARG_N,39,9
ARG_O,40,9
ARG_P,41,9
ARG_Q,42,9
ARG_R,43,9
ARG_S,44,9
ARG_T,45,9
AUS_A01_02,46,7
AUS_A03,47,7
AUS_B05_06,48,8
AUS_B07_08,49,8
AUS_B09,50,8
AUS_C10T12,51,8
AUS_C13T15,52,8
AUS_C16,53,8
AUS_C17_18,54,8
AUS_C19,55,8
AUS_C20,56,8
AUS_C21,57,8
AUS_C22,58,8
AUS_C23,59,8
AUS_C24,60,8
AUS_C25,61,8
AUS_C26,62,8
AUS_C27,63,8
AUS_C28,64,8
AUS_C29,65,8
AUS_C30,66,8
AUS_C31T33,67,8
AUS_D,68,9
AUS_E,69,9
AUS_F,70,9
AUS_G,71,9
AUS_H49,72,9
AUS_H50,73,9
AUS_H51,74,9
AUS_H52,75,9
AUS_H53,76,9
AUS_I,77,9
AUS_J58T60,78,9
AUS_J61,79,9
AUS_J62_63,80,9
AUS_K,81,9
AUS_L,82,9
AUS_M,83,9
AUS_N,84,9
AUS_O,85,9
AUS_P,86,9
AUS_Q,87,9
AUS_R,88,9
AUS_S,89,9
AUS_T,90,9
AUT_A01_02,91,7
AUT_A03,92,7
AUT_B05_06,93,8
AUT_B07_08,94,8
AUT_B09,95,8
AUT_C10T12,96,8
AUT_C13T15,97,8
AUT_C16,98,8
AUT_C17_18,99,8
AUT_C19,100,8
AUT_C20,101,8
AUT_C21,102,8
AUT_C22,103,8
AUT_C23,104,8
AUT_C24,105,8
AUT_C25,106,8
AUT_C26,107,8
AUT_C27,108,8
AUT_C28,109,8
AUT_C29,110,8
AUT_C30,111,8
AUT_C31T33,112,8
AUT_D,113,9
AUT_E,114,9
AUT_F,115,9
AUT_G,116,9
AUT_H49,117,9
AUT_H50,118,9
AUT_H51,119,9
AUT_H52,120,9
AUT_H53,121,9
AUT_I,122,9
AUT_J58T60,123,9
AUT_J61,124,9
AUT_J62_63,125,9
AUT_K,126,9
AUT_L,127,9
AUT_M,128,9
AUT_N,129,9
AUT_O,130,9
AUT_P,131,9
AUT_Q,132,9
AUT_R,133,9
AUT_S,134,9
AUT_T,135,9
BEL_A01_02,136,7
BEL_A03,137,7
BEL_B05_06,138,8
BEL_B07_08,139,8
BEL_B09,140,8
BEL_C10T12,141,8
BEL_C13T15,142,8
BEL_C16,143,8
BEL_C17_18,144,8
BEL_C19,145,8
BEL_C20,146,8
BEL_C21,147,8
BEL_C22,148,8
BEL_C23,149,8
BEL_C24,150,8
BEL_C25,151,8
BEL_C26,152,8
BEL_C27,153,8
BEL_C28,154,8
BEL_C29,155,8
BEL_C30,156,8
BEL_C31T33,157,8
BEL_D,158,9
BEL_E,159,9
BEL_F,160,9
BEL_G,161,9
BEL_H49,162,9
BEL_H50,163,9
BEL_H51,164,9
BEL_H52,165,9
BEL_H53,166,9
BEL_I,167,9
BEL_J58T60,168,9
BEL_J61,169,9
BEL_J62_63,170,9
BEL_K,171,9
BEL_L,172,9
BEL_M,173,9
BEL_N,174,9
BEL_O,175,9
BEL_P,176,9
BEL_Q,177,9
BEL_R,178,9
BEL_S,179,9
BEL_T,180,9
BGD_A01_02,181,7
BGD_A03,182,7
BGD_B05_06,183,8
BGD_B07_08,184,8
BGD_B09,185,8
BGD_C10T12,186,8
BGD_C13T15,187,8
BGD_C16,188,8
