권역,항목코드,항목,old_33부문,new_3부문및지역
서울,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",1,1
서울,9112,정부소비지출,2,1
서울,9121,"민간고정
자본형성",3,2
서울,9122,"정부고정
자본형성",4,2
서울,9131,재고증감,5,2
서울,9132,"귀중품
순취득",6,2
서울,9140,수출,7,3
인천,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",8,1
인천,9112,정부소비지출,9,1
인천,9121,"민간고정
자본형성",10,2
인천,9122,"정부고정
자본형성",11,2
인천,9131,재고증감,12,2
인천,9132,"귀중품
순취득",13,2
인천,9140,수출,14,3
경기,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",15,1
경기,9112,정부소비지출,16,1
경기,9121,"민간고정
자본형성",17,2
경기,9122,"정부고정
자본형성",18,2
경기,9131,재고증감,19,2
경기,9132,"귀중품
순취득",20,2
경기,9140,수출,21,3
대전,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",22,4
대전,9112,정부소비지출,23,4
대전,9121,"민간고정
자본형성",24,5
대전,9122,"정부고정
자본형성",25,5
대전,9131,재고증감,26,5
대전,9132,"귀중품
순취득",27,5
대전,9140,수출,28,6
세종,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",29,4
세종,9112,정부소비지출,30,4
세종,9121,"민간고정
자본형성",31,5
세종,9122,"정부고정
자본형성",32,5
세종,9131,재고증감,33,5
세종,9132,"귀중품
순취득",34,5
세종,9140,수출,35,6
충북,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",36,4
충북,9112,정부소비지출,37,4
충북,9121,"민간고정
자본형성",38,5
충북,9122,"정부고정
자본형성",39,5
충북,9131,재고증감,40,5
충북,9132,"귀중품
순취득",41,5
충북,9140,수출,42,6
충남,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",43,4
충남,9112,정부소비지출,44,4
충남,9121,"민간고정
자본형성",45,5
충남,9122,"정부고정
자본형성",46,5
충남,9131,재고증감,47,5
충남,9132,"귀중품
순취득",48,5
충남,9140,수출,49,6
광주,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",50,7
광주,9112,정부소비지출,51,7
광주,9121,"민간고정
자본형성",52,8
광주,9122,"정부고정
자본형성",53,8
광주,9131,재고증감,54,8
광주,9132,"귀중품
순취득",55,8
광주,9140,수출,56,9
전북,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",57,7
전북,9112,정부소비지출,58,7
전북,9121,"민간고정
자본형성",59,8
전북,9122,"정부고정
자본형성",60,8
전북,9131,재고증감,61,8
전북,9132,"귀중품
순취득",62,8
전북,9140,수출,63,9
전남,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",64,7
전남,9112,정부소비지출,65,7
전남,9121,"민간고정
자본형성",66,8
전남,9122,"정부고정
자본형성",67,8
전남,9131,재고증감,68,8
전남,9132,"귀중품
순취득",69,8
전남,9140,수출,70,9
대구,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",71,10
대구,9112,정부소비지출,72,10
대구,9121,"민간고정
자본형성",73,11
대구,9122,"정부고정
자본형성",74,11
대구,9131,재고증감,75,11
대구,9132,"귀중품
순취득",76,11
대구,9140,수출,77,12
경북,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",78,10
경북,9112,정부소비지출,79,10
경북,9121,"민간고정
자본형성",80,11
경북,9122,"정부고정
자본형성",81,11
경북,9131,재고증감,82,11
경북,9132,"귀중품
순취득",83,11
경북,9140,수출,84,12
부산,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",85,10
부산,9112,정부소비지출,86,10
부산,9121,"민간고정
자본형성",87,11
부산,9122,"정부고정
자본형성",88,11
부산,9131,재고증감,89,11
부산,9132,"귀중품
순취득",90,11
부산,9140,수출,91,12
울산,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",92,10
울산,9112,정부소비지출,93,10
울산,9121,"민간고정
자본형성",94,11
울산,9122,"정부고정
자본형성",95,11
울산,9131,재고증감,96,11
울산,9132,"귀중품
순취득",97,11
울산,9140,수출,98,12
경남,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",99,10
경남,9112,정부소비지출,100,10
경남,9121,"민간고정
자본형성",101,11
경남,9122,"정부고정
자본형성",102,11
경남,9131,재고증감,103,11
경남,9132,"귀중품
순취득",104,11
경남,9140,수출,105,12
강원,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",106,13
강원,9112,정부소비지출,107,13
강원,9121,"민간고정
자본형성",108,14
강원,9122,"정부고정
자본형성",109,14
강원,9131,재고증감,110,14
강원,9132,"귀중품
순취득",111,14
강원,9140,수출,112,15
제주,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",113,16
제주,9112,정부소비지출,114,16
제주,9121,"민간고정
자본형성",115,17
제주,9122,"정부고정
자본형성",116,17
제주,9131,재고증감,117,17
제주,9132,"귀중품
순취득",118,17
제주,9140,수출,119,18
