권역,항목코드,항목,old_33부문,new_3부문및지역
서울,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",1,1
서울,9112,정부소비지출,2,1
서울,9121,"민간고정
자본형성",3,2
서울,9122,"정부고정
자본형성",4,2
서울,9131,재고증감,5,2
서울,9132,"귀중품
순취득",6,2
서울,9140,수출,7,3
인천,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",8,1
인천,9112,정부소비지출,9,1
인천,9121,"민간고정
자본형성",10,2
인천,9122,"정부고정
자본형성",11,2
인천,9131,재고증감,12,2
인천,9132,"귀중품
순취득",13,2
인천,9140,수출,14,3
경기,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",15,1
경기,9112,정부소비지출,16,1
경기,9121,"민간고정
자본형성",17,2
경기,9122,"정부고정
자본형성",18,2
경기,9131,재고증감,19,2
경기,9132,"귀중품
순취득",20,2
경기,9140,수출,21,3
대전,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",22,4
대전,9112,정부소비지출,23,4
대전,9121,"민간고정
자본형성",24,5
대전,9122,"정부고정
자본형성",25,5
대전,9131,재고증감,26,5
대전,9132,"귀중품
순취득",27,5
대전,9140,수출,28,6
세종,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",29,4
세종,9112,정부소비지출,30,4
세종,9121,"민간고정
자본형성",31,5
세종,9122,"정부고정
자본형성",32,5
세종,9131,재고증감,33,5
세종,9132,"귀중품
순취득",34,5
세종,9140,수출,35,6
충북,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",36,4
충북,9112,정부소비지출,37,4
충북,9121,"민간고정
자본형성",38,5
충북,9122,"정부고정
자본형성",39,5
충북,9131,재고증감,40,5
충북,9132,"귀중품
순취득",41,5
충북,9140,수출,42,6
충남,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",43,4
충남,9112,정부소비지출,44,4
충남,9121,"민간고정
자본형성",45,5
충남,9122,"정부고정
자본형성",46,5
충남,9131,재고증감,47,5
충남,9132,"귀중품
순취득",48,5
충남,9140,수출,49,6
광주,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",50,4
광주,9112,정부소비지출,51,4
광주,9121,"민간고정
자본형성",52,5
광주,9122,"정부고정
자본형성",53,5
광주,9131,재고증감,54,5
광주,9132,"귀중품
순취득",55,5
광주,9140,수출,56,6
전북,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",57,4
전북,9112,정부소비지출,58,4
전북,9121,"민간고정
자본형성",59,5
전북,9122,"정부고정
자본형성",60,5
전북,9131,재고증감,61,5
전북,9132,"귀중품
순취득",62,5
전북,9140,수출,63,6
전남,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",64,4
전남,9112,정부소비지출,65,4
전남,9121,"민간고정
자본형성",66,5
전남,9122,"정부고정
자본형성",67,5
전남,9131,재고증감,68,5
전남,9132,"귀중품
순취득",69,5
전남,9140,수출,70,6
대구,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",71,7
대구,9112,정부소비지출,72,7
대구,9121,"민간고정
자본형성",73,8
대구,9122,"정부고정
자본형성",74,8
대구,9131,재고증감,75,8
대구,9132,"귀중품
순취득",76,8
대구,9140,수출,77,9
경북,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",78,7
경북,9112,정부소비지출,79,7
경북,9121,"민간고정
자본형성",80,8
경북,9122,"정부고정
자본형성",81,8
경북,9131,재고증감,82,8
경북,9132,"귀중품
순취득",83,8
경북,9140,수출,84,9
부산,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",85,7
부산,9112,정부소비지출,86,7
부산,9121,"민간고정
자본형성",87,8
부산,9122,"정부고정
자본형성",88,8
부산,9131,재고증감,89,8
부산,9132,"귀중품
순취득",90,8
부산,9140,수출,91,9
울산,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",92,7
울산,9112,정부소비지출,93,7
울산,9121,"민간고정
자본형성",94,8
울산,9122,"정부고정
자본형성",95,8
울산,9131,재고증감,96,8
울산,9132,"귀중품
순취득",97,8
울산,9140,수출,98,9
경남,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",99,7
경남,9112,정부소비지출,100,7
경남,9121,"민간고정
자본형성",101,8
경남,9122,"정부고정
자본형성",102,8
경남,9131,재고증감,103,8
경남,9132,"귀중품
순취득",104,8
경남,9140,수출,105,9
강원,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",106,7
강원,9112,정부소비지출,107,7
강원,9121,"민간고정
자본형성",108,8
강원,9122,"정부고정
자본형성",109,8
강원,9131,재고증감,110,8
강원,9132,"귀중품
순취득",111,8
강원,9140,수출,112,9
제주,9111,"민간소비지출
(가계 및 가계봉사
비영리단체)",113,4
제주,9112,정부소비지출,114,4
제주,9121,"민간고정
자본형성",115,5
제주,9122,"정부고정
자본형성",116,5
제주,9131,재고증감,117,5
제주,9132,"귀중품
순취득",118,5
제주,9140,수출,119,6
