code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290
code,name,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
A,농림수산품,"2,876,469",5477.9066,"29,415,516","40,397","373,431",7074.327903,"333,434",8015.4683,16786.50834,16584.21901,19653.23849,6801.161692,19782.06316,"14,290","33,826","527,516",5644.356813,7356.673765,"446,439",113548.6101,27651.74433,"8,557,096",35356.87526,52364.25475,9515.802629,"148,208",20103.65598,"293,670",108013.0453,"1,078,895","162,072",82511.95842,"44,863,501","14,148,082",0,"392,372",15171,"1,265,470",0,687127,"16,508,222","61,371,723"
B,광산품,1031.365573,2070.044269,"22,453","3,816","6,506","114,771","254,211","2,880,004","284,704","19,763","21,771","5,476","10,352","3,257",4088.122814,"16,951","86,064",39977.666,"221,854",0,0,2971.009177,0,0,117.0005429,"7,716",5368.052236,5733.069997,158.0008667,5391.117785,1155.007546,1038.025794,"4,028,769",3971,0,0,0,"-36,722",0,129200,"96,449","4,125,218"
C01,음식료품,"9,118,213",8905.043511,"14,800,106","170,916","63,302","38,235","925,058",38483.05631,82482.51827,81999.84319,71235.10293,35287.70615,90668.95165,82395.2775,10890.39194,"685,475",30889.27262,34384.30469,83551.57619,1137948.856,"267,854","34,009,025","233,821",304431.2994,8897.247689,"1,108,809","297,123",913904.9259,387962.5877,"1,421,387","1,984,826",491134.2653,"69,019,603","45,693,067",0,0,0,"58,550",0,7376000,"53,127,617","122,147,220"
C02,섬유 및 가죽제품,"553,346",11634.89282,"148,768","11,441,651","284,342",64890.30139,"1,265,443","124,270","234,943","388,125","226,143","192,289","184,098","1,352,571","999,327","1,615,831","75,178","150,323","288,067","1,239,787","1,117,118","792,517","192,943","337,553","99,773","467,758","608,091","718,091","264,279","650,308","467,576","827,016","27,384,049","16,638,110",0,"79,953",10973,"760,906",0,34455146,"51,945,088","79,329,137"
C03,"목재 및 종이, 인쇄","686,902",13184.54048,"2,223,115","500,537","9,258,199",131858.523,"1,587,526","435,980","294,854","771,015","517,145","706,345","413,069","321,077","1,298,484","507,315",48838.44678,56950.97951,"3,897,126","2,680,708","1,076,081","863,645","2,062,908","1,538,903","140,240","3,041,974","376,055","533,444","794,884","516,940","456,868","623,780","38,375,950","872,744",0,0,0,"71,195",0,3594127,"4,538,066","42,914,016"
C04,석탄 및 석유제품,"1,249,829","96,715","288,716","229,605","142,571","1,906,509","12,738,445","1,352,803","564,218","477,164","270,992","284,516","363,763","849,191","64,193","617,250","2,298,639","264,166","1,691,099","4,367,850","15,410,805","942,128","387,437","309,329","667,828","2,162,067","441,496","1,333,562","1,646,751","1,485,570","390,411","782,325","56,077,944","13,439,113",0,0,0,"366,141",0,40266835,"54,072,089","110,150,033"
C05,화학제품,"3,968,650","123,688","2,841,182","5,625,970","2,559,899","1,512,596","50,040,853","1,278,602","1,390,705","4,667,528","11,644,009","6,316,056","4,345,298","16,254,229","1,957,024","2,206,395","1,872,442","505,474","8,482,954","3,253,750","1,706,552","1,625,545","557,119","190,045",142000.9431,"4,542,983","1,452,408","529,718","627,227","14,717,441","580,254","3,271,573","160,790,171","3,157,355",0,0,0,"-607,272",0,82042908,"84,592,991","245,383,162"
C06,비금속광물제품,18929.24208,8385.353819,"573,357","42,431","18,340","66,468","768,371","5,174,580","2,085,100","407,728","4,028,065","686,872","255,966","1,173,034","149,903","182,803","-55,913","107,576","19,882,777","65,309","96,999","297,345",11005.35373,6548.075825,50020.60453,"168,516",83022.65148,98502.67707,60636.2499,63371.51447,159797.3866,"71,314","36,807,159","13,453",0,0,0,"-31,008",0,2889084,"2,871,529","39,678,688"
C07,1차 금속제품,52605.26233,5576.398059,7114.003371,"16,995","39,925",173352.1747,"941,639","627,837","23,475,603","15,702,522","2,964,594","7,198,479","9,622,363","14,788,492","1,029,644","951,052","89,478","78,861","11,477,985",-26720.98784,"38,929",1269.0003,-4242.99766,-45.99997778,803.0055545,"295,395",-289.9956969,1180.036104,-17868.96996,"70,392",-1713.998881,"2,257","89,603,459","-563,698",0,-2448262,-63985,"-1,235,910","105,316",39517282,"35,310,743","124,914,202"
