code,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45
A,"4,544,170","3,784","32,725,653","700,461","1,020,190","1,269","1,096,739","3,216","9,706","4,920","12,878","3,040","8,898","13,519","23,597","38,820","2,048","3,434","973,812","62,847","15,529","6,716,541","27,538","28,818","5,006","114,204","13,269","58,970","44,906","1,003,843","100,467","36,241","49,418,333","16,009,653",0,"508,027","22,891","2,114,993",0,"829,846","19,485,410","68,903,743",59105417,9798326,68903743
B,957,0,"17,678","5,043","41,764","48,476,793","2,833,079","2,591,961","14,214,620","20,708","33,872","4,773","11,624","5,052","5,092","17,002","24,921,997",0,"1,147,508",0,0,"5,323",0,0,189,"10,312",0,"2,895",0,"3,862",355,348,"94,372,807","15,132",0,0,0,"95,087",0,"141,873","252,092","94,624,899",3804951,90819948,94624899
C01,"9,706,871","3,379","15,453,761","706,857","69,338","9,933","992,240","21,645","56,492","27,369","79,296","17,398","52,561","63,887","6,244","110,399","16,796","18,624","40,836","455,094","133,417","25,273,260","179,597","167,525","37,819","714,323","148,019","134,599","145,136","1,083,828","1,240,665","145,573","57,312,781","59,506,333",0,0,0,"3,915,376",0,"6,409,262","69,830,971","127,143,752",106663710,20480042,127143752
C02,"524,956","4,681","173,393","21,063,924","398,573","27,134","1,343,399","120,029","268,472","264,703","593,505","120,697","183,599","2,009,150","651,951","566,386","126,729","267,257","537,434","1,158,836","1,055,591","483,621","199,030","397,344","87,917","292,503","323,010","450,782","147,552","681,078","300,092","552,625","35,375,953","29,901,874",0,"147,863","5,122","3,580,968",0,"21,859,383","55,495,210","90,871,163",72748225,18122938,90871163
C03,"691,769","10,841","2,003,826","839,853","13,027,047","75,445","1,428,720","514,336","456,265","650,150","1,075,662","1,001,780","445,637","957,039","1,781,191","547,734","117,428","197,722","2,765,657","2,952,491","834,431","790,827","2,491,987","1,357,654","95,319","2,510,844","238,768","817,160","1,262,173","709,750","631,250","406,514","43,687,270","844,501",0,0,0,"-380,463",0,"3,367,618","3,831,656","47,518,926",40939615,6579311,47518926
C04,"1,373,308","163,739","406,932","380,496","390,159","2,898,104","18,963,457","1,692,348","1,144,094","802,974","400,855","422,687","699,061","1,052,597","81,648","591,390","2,771,087","418,920","2,787,872","2,511,864","18,651,128","1,607,583","465,926","302,889","512,308","1,526,101","546,961","718,647","1,465,390","672,875","530,521","775,158","67,729,079","14,562,239",0,0,0,"2,113,600",0,"28,827,390","45,503,229","113,232,308",88115626,25116682,113232308
C05,"4,436,247","122,834","2,966,991","6,825,397","2,880,753","1,243,749","70,566,122","2,266,429","2,191,401","4,711,811","18,111,699","7,650,174","3,969,363","13,674,672","1,949,271","1,991,441","2,152,620","1,078,726","8,846,603","2,521,667","2,455,821","1,093,508","653,401","203,944","20,437","3,924,428","1,428,166","274,056","397,778","14,470,158","515,763","2,469,726","188,065,156","8,632,356",0,0,0,"1,885,814",0,"60,184,815","70,702,985","258,768,141",206672593,52095548,258768141
C06,"27,555",539,"487,171","13,975","71,141","18,007","684,466","5,326,330","1,613,429","279,443","6,425,284","1,023,970","352,087","1,167,457","165,117","154,443","14,492","204,007","20,188,457","68,367","39,558","197,656","16,624","14,785","4,854","184,782","3,489","14,606","63,642","24,710","10,637","79,793","38,940,873","229,612",0,0,0,"523,723",0,"1,848,108","2,601,443","41,542,316",35071630,6470686,41542316
C07,"73,278","7,967","5,021","45,095","92,227","83,750","2,098,373","632,952","42,065,088","18,616,040","4,338,130","10,254,913","12,431,079","15,074,841","941,963","1,220,788","94,434","673,280","13,401,741","-18,238","78,143","7,148","-3,979",-40,"1,711","260,289",618,371,"-13,196","147,610",-885,"66,426","122,676,938","-291,607",0,"-1,793,577","-379,727","2,842,122","142,466","32,430,557","32,950,234","155,627,172",115463375,40163797,155627172
C08,"45,516","56,295","1,058,574","526,910","176,906","543,011","1,654,051","580,472","1,652,533","10,759,422","3,903,556","2,715,254","8,965,882","14,438,357","978,560","843,381","497,659","96,836","19,201,692","560,091","600,496","721,758","109,379","177,040","39,252","470,152","92,112","524,576","97,580","107,464","61,873","566,309","72,822,949","1,187,893",0,"3,030,134","1,797,493","1,382,763",0,"8,921,684","16,319,967","89,142,916",81461345,7681571,89142916
