,index,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
0,농산품,4.0,38.0,11.0,53.0,18.0,0.0,1.0,19.0,72.0
1,공산품,16.0,944.0,401.0,1361.0,213.0,167.0,628.0,1008.0,2369.0
2,서비스,7.0,257.0,693.0,957.0,1032.0,432.0,131.0,1595.0,2552.0
3,중간투입계,27.0,1239.0,1105.0,2371.0,1263.0,599.0,760.0,2622.0,4993.0
4,피용자보수,7.0,197.0,714.0,918.0,0.0,0.0,0.0,0.0,0.0
5,영업잉여,20.0,152.0,298.0,470.0,0.0,0.0,0.0,0.0,0.0
6,고정자본소모,5.0,144.0,230.0,379.0,0.0,0.0,0.0,0.0,0.0
7,생산세(보조금공제),1.0,60.0,100.0,161.0,0.0,0.0,0.0,0.0,0.0
8,부가가치계,33.0,553.0,1342.0,1928.0,0.0,0.0,0.0,0.0,0.0
9,총투입액,60.0,1792.0,2447.0,4299.0,0.0,0.0,0.0,0.0,0.0
